party_id	units_total	denominator	share_T00	share_T01	share_T02	share_T03	share_T04	share_T05	share_T06	share_T07	share_T08	share_T09	share_T10	share_T11	share_T12	share_T13	share_T14	share_T15	share_T16	share_T99	type_problem	type_goal	type_instrument	type_commitment	type_achievement	type_description
adilet	1346	1219	0.0443	0.0533	0.0509	0.0566	0.1468	0.0812	0.0312	0.0714	0.0837	0.0722	0.0574	0.1140	0.0443	0.0221	0.0673	0.0025	0.0008	0.0000	0.0345	0.2609	0.1444	0.4668	0.0057	0.0878
npk	456	406	0.0665	0.1108	0.0788	0.0246	0.1207	0.0320	0.0320	0.0123	0.0936	0.1256	0.0714	0.0887	0.0419	0.0542	0.0443	0.0025	0.0000	0.0000	0.0345	0.2463	0.5911	0.0074	0.0172	0.1034
baitaq	420	354	0.0791	0.0395	0.0198	0.0395	0.0339	0.0876	0.2260	0.0367	0.2260	0.0650	0.1045	0.0282	0.0000	0.0141	0.0000	0.0000	0.0000	0.0000	0.2768	0.1441	0.2345	0.0395	0.0056	0.2994
ak_zhol	328	282	0.0355	0.2199	0.1277	0.1454	0.1702	0.0816	0.0284	0.0000	0.0284	0.0816	0.0177	0.0071	0.0142	0.0390	0.0035	0.0000	0.0000	0.0000	0.1135	0.3156	0.2766	0.0177	0.0390	0.2376
osdp	273	222	0.0360	0.2252	0.0766	0.0495	0.0901	0.0135	0.0811	0.0315	0.0541	0.0541	0.0676	0.0495	0.0315	0.0360	0.0991	0.0000	0.0000	0.0045	0.0315	0.5360	0.3288	0.0090	0.0045	0.0901
respublica	244	206	0.0291	0.1019	0.0243	0.1214	0.1893	0.0194	0.0388	0.0534	0.0583	0.0728	0.0437	0.0631	0.0631	0.0680	0.0388	0.0097	0.0049	0.0000	0.0146	0.2573	0.5922	0.0340	0.0000	0.1019
auyl	180	144	0.1667	0.0903	0.0486	0.0208	0.0417	0.0069	0.0486	0.2431	0.0903	0.0764	0.0139	0.0556	0.0347	0.0208	0.0347	0.0069	0.0000	0.0000	0.0069	0.1806	0.4583	0.0069	0.2014	0.1458
