party_id	list_order	candidate_name	birth_year	query	result_urls	result_titles	google_wikipedia_result	checked_at
auyl	3	Абдуразакова София Ринатовна	1979	"""Абдуразакова София Ринатовна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:09:00Z
auyl	11	Арсютин Николай Геннадьевич	1970	"""Арсютин Николай Геннадьевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%81%D1%8E%D1%82%D0%B8%D0%BD,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D1%8C%D0%B5%D0%B2%D0%B8%D1%87""]"	"[""Арсютин, Николай Геннадьевич Википедия https://ru.wikipedia.org › wiki › А...""]"	true	2026-08-16T22:09:01Z
auyl	14	Бабамуратов Даурен Абуталипович	1984	"""Бабамуратов Даурен Абуталипович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:09:03Z
auyl	23	Дайрабаев Жигули Молдакалыкович	1954	"""Дайрабаев Жигули Молдакалыкович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%B9%D1%80%D0%B0%D0%B1%D0%B0%D0%B5%D0%B2,_%D0%96%D0%B8%D0%B3%D1%83%D0%BB%D0%B8_%D0%9C%D0%BE%D0%BB%D0%B4%D0%B0%D0%BA%D0%B0%D0%BB%D1%8B%D0%BA%D0%BE%D0%B2%D0%B8%D1%87""]"	"[""Дайрабаев, Жигули Молдакалыкович Википедия https://ru.wikipedia.org › wiki › Д...""]"	true	2026-08-16T22:09:05Z
auyl	52	Ораш Нұрхат Серікқалиұлы	1994	"""Ораш Нұрхат Серікқалиұлы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:09:07Z
auyl	55	Рахымбек Дәурен Берікбайұлы	1998	"""Рахымбек Дәурен Берікбайұлы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:09:09Z
auyl	61	Султанкулова Жазира Кайратовна	1980	"""Султанкулова Жазира Кайратовна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:09:10Z
baitaq	5	Аскаров Бекзат Ерикович	1988	"""Аскаров Бекзат Ерикович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:09:47Z
baitaq	13	Джакишев Алмаз Ажибекович	1997	"""Джакишев Алмаз Ажибекович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:09:49Z
baitaq	23	Керей Бекберген Дүйсенбайұлы	1971	"""Керей Бекберген Дүйсенбайұлы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:09:51Z
baitaq	44	Туртаев Алмат Керимбаевич	1969	"""Туртаев Алмат Керимбаевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:09:53Z
npk	9	Аргумбаев Данияр Даулеткелдиевич	1983	"""Аргумбаев Данияр Даулеткелдиевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:09:54Z
npk	17	Беглова Александра Леонидовна	1995	"""Беглова Александра Леонидовна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:09:56Z
npk	21	Біләл Уатхан Қабылтайұлы	1995	"""Біләл Уатхан Қабылтайұлы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:09:58Z
npk	55	Оразханов Нурдаулет Амантаевич	1983	"""Оразханов Нурдаулет Амантаевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:00Z
npk	66	Сыдыкова Карлыгаш Нурдаулетовна	1977	"""Сыдыкова Карлыгаш Нурдаулетовна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:01Z
osdp	4	Алшынбай Ару Мұратқызы	2000	"""Алшынбай Ару Мұратқызы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:10:03Z
