party_id	list_order	candidate_name	official_name	profile_url	photo_source_url	match_status	photo_status	asset_rights_note	collected_at
osdp	25	Насибулов Мақсұт Бейбитұлы	Насибулов Максут Бейбитович	https://osdp.kz/ru/rukovodstvo	https://osdp.kz/storage/app/media/new%20photo/Maksut.jpg	confident	source_identified	Official OSDP party site (osdp.kz), leadership page; no explicit free-use license	2026-08-17
osdp	31	Самбетбай Тазабек Дакенайұлы	Самбетбай Тазабек Дакенайулы	https://osdp.kz/ru/rukovodstvo	https://osdp.kz/storage/app/media/new%20photo/Tazabek.jpg	confident	source_identified	Official OSDP party site (osdp.kz), leadership page; no explicit free-use license	2026-08-17
