party_id	list_order	candidate_name	primary_r2_key	primary_public_photo_url	avatar_source_url	official_source_url	asset_rights_note	promoted_at
adilet	128	Пономарёв Сергей Михайлович	candidates/adilet/128.jpg	https://assets.open-quryltai.org/candidates/adilet/128.jpg	https://mazhilis.parlam.kz/media/deputy_avatars/76/2024-01-23/%D0%9F%D0%BE%D0%BD%D0%BE%D0%BC%D0%B0%D1%80%D0%B5%D0%B2_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B8_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB%D0%BE%D0%B2%D0%B8%D1%87_2023_22.JPG	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	Official Mazhilis directory source; no separate image license declaration found.	2026-08-16T23:38:45Z
adilet	133	Рожин Максим Николаевич	candidates/adilet/133.jpg	https://assets.open-quryltai.org/candidates/adilet/133.jpg	https://mazhilis.parlam.kz/media/deputy_avatars/78/2024-01-23/%D0%A0%D0%BE%D0%B6%D0%B8%D0%BD_%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87_2023_22.JPG	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	Official Mazhilis directory source; no separate image license declaration found.	2026-08-16T23:38:48Z
adilet	136	Савельева Татьяна Михайловна	candidates/adilet/136.jpg	https://assets.open-quryltai.org/candidates/adilet/136.jpg	https://mazhilis.parlam.kz/media/deputy_avatars/80/2024-12-10/%D0%A1%D0%B0%D0%B2%D0%B5%D0%BB%D1%8C%D0%B5%D0%B2%D0%B0_%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0_2023_22.JPG	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	Official Mazhilis directory source; no separate image license declaration found.	2026-08-16T23:38:51Z
adilet	141	Сайыр Ерлан Биахметұлы	candidates/adilet/141.jpg	https://assets.open-quryltai.org/candidates/adilet/141.jpg	https://mazhilis.parlam.kz/media/deputy_avatars/84/2024-01-23/%D0%A1%D0%B0%D0%B8%D1%80%D0%BE%D0%B2_%D0%95%D1%80%D0%BB%D0%B0%D0%BD_%D0%91%D0%B8%D1%8F%D1%85%D0%BC%D0%B5%D1%82%D0%BE%D0%B2%D0%B8%D1%87_2021_22.JPG	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	Official Mazhilis directory source; no separate image license declaration found.	2026-08-16T23:38:53Z
adilet	144	Сарым Айдос Әміроллаұлы	candidates/adilet/144.jpg	https://assets.open-quryltai.org/candidates/adilet/144.jpg	https://mazhilis.parlam.kz/media/deputy_avatars/87/2024-01-23/%D0%A1%D0%B0%D1%80%D1%8B%D0%BC_%D0%90%D0%B8%D0%B4%D0%BE%D1%81_%D3%98%D0%BC%D1%96%D1%80%D0%BE%D0%BB%D0%BB%D0%B0%D2%B1%D0%BB%D1%8B_2021_22.JPG	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	Official Mazhilis directory source; no separate image license declaration found.	2026-08-16T23:38:56Z
adilet	148	Смышляева Екатерина Васильевна	candidates/adilet/148.jpg	https://assets.open-quryltai.org/candidates/adilet/148.jpg	https://mazhilis.parlam.kz/media/deputy_avatars/94/2024-01-23/%D0%A1%D0%BC%D1%8B%D1%88%D0%BB%D1%8F%D0%B5%D0%B2%D0%B0_%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0_2021_62.JPG	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	Official Mazhilis directory source; no separate image license declaration found.	2026-08-16T23:38:58Z
adilet	181	Шапак Унзила	candidates/adilet/181.jpg	https://assets.open-quryltai.org/candidates/adilet/181.jpg	https://mazhilis.parlam.kz/media/deputy_avatars/106/2024-01-23/%D0%A8%D0%B0%D0%BF%D0%B0%D0%BA_%D0%A3%D0%BD%D0%B7%D0%B8%D0%BB%D0%B0_2023_22.JPG	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	Official Mazhilis directory source; no separate image license declaration found.	2026-08-16T23:39:00Z
adilet	182	Шаталов Никита Сергеевич	candidates/adilet/182.jpg	https://assets.open-quryltai.org/candidates/adilet/182.jpg	https://mazhilis.parlam.kz/media/deputy_avatars/None/2024-04-02/%D0%A8%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B2_%D0%9D%D0%B8%D0%BA%D0%B8%D1%82%D0%B0_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87_2023_22.JPG	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	Official Mazhilis directory source; no separate image license declaration found.	2026-08-16T23:39:03Z
npk	53	Нұралин Асылбек Жамашұлы	candidates/npk/53.jpg	https://assets.open-quryltai.org/candidates/npk/53.jpg	https://mazhilis.parlam.kz/media/deputy_avatars/1963/2025-01-30/%D0%9D%D1%83%D1%80%D0%B0%D0%BB%D0%B8%D0%BD_%D0%90%D1%81%D1%8B%D0%BB%D0%B1%D0%B5%D0%BA_%D0%96%D0%B0%D0%BC%D0%B0%D1%88%D1%83%D0%BB%D1%8B_2025_22.JPG	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	Official Mazhilis directory source; no separate image license declaration found.	2026-08-16T23:39:07Z
npk	61	Сейтжан Кенжеғұл Социалұлы	candidates/npk/61.jpg	https://assets.open-quryltai.org/candidates/npk/61.jpg	https://mazhilis.parlam.kz/media/deputy_avatars/90/2024-01-23/%D0%A1%D0%B5%D0%B8%D1%82%D0%B6%D0%B0%D0%BD_%D0%9A%D0%B5%D0%BD%D0%B6%D0%B5%D2%93%D1%83%D0%BB_%D0%A1%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D2%B1%D0%BB%D1%8B_2023_22.JPG	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	Official Mazhilis directory source; no separate image license declaration found.	2026-08-16T23:39:10Z
npk	63	Смирнова Ирина Владимировна	candidates/npk/63.jpg	https://assets.open-quryltai.org/candidates/npk/63.jpg	https://mazhilis.parlam.kz/media/deputy_avatars/93/2024-01-23/%D0%A1%D0%BC%D0%B8%D1%80%D0%BD%D0%BE%D0%B2%D0%B0_%D0%98%D1%80%D0%B8%D0%BD%D0%B0_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0_2016_22.JPG	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	Official Mazhilis directory source; no separate image license declaration found.	2026-08-16T23:39:13Z
npk	65	Сұңқар Ислам Еркінұлы	candidates/npk/65.jpg	https://assets.open-quryltai.org/candidates/npk/65.jpg	https://mazhilis.parlam.kz/media/deputy_avatars/97/2024-01-23/%D0%A1%D2%B1%D2%A3%D2%9B%D0%B0%D1%80_%D0%98%D1%81%D0%BB%D0%B0%D0%BC_%D0%95%D1%80%D0%BA%D1%96%D0%BD%D2%B1%D0%BB%D1%8B_2023_22.JPG	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	Official Mazhilis directory source; no separate image license declaration found.	2026-08-16T23:39:15Z
osdp	30	Сайлаубай Наурыз Саятұлы	candidates/osdp/30.jpg	https://assets.open-quryltai.org/candidates/osdp/30.jpg	https://mazhilis.parlam.kz/media/deputy_avatars/85/2024-01-23/%D0%A1%D0%B0%D0%B8%D0%BB%D0%B0%D1%83%D0%B1%D0%B0%D0%B8_%D0%9D%D0%B0%D1%83%D1%80%D1%8B%D0%B7_%D0%A1%D0%B0%D1%8F%D1%82%D2%B1%D0%BB%D1%8B_2023_22.JPG	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	Official Mazhilis directory source; no separate image license declaration found.	2026-08-16T23:39:19Z
