party_id	list_order	candidate_name	official_name_kk	official_role_kk	official_source_url	parliament_biography_url	social_urls	photo_source_url	match_score	match_margin	match_status	photo_status	r2_key	public_photo_url	asset_rights_note	collected_at
auyl	1	Абден Қарақат Жақсылыққызы	АБДЕН ҚАРАҚАТ ЖАҚСЫЛЫҚҚЫЗЫ	Қазақстан Республикасы Парламенті Мәжілісінің VIII шақырылым депутаты	https://auyl.kz/kz/fraction	https://www.parlam.kz/kk/blogs/abden/Biography	https://www.facebook.com/abdenova.karakat?mibextid=LQQJ4d|https://www.instagram.com/abdenkarakat?igsh=NXpxOTU1Z3B3YXpv	https://auyl.kz/storage/deputies/June2024/29kksQykugaNrR0GVe5s.jpg	1.000	0.565	MATCHED	UPLOADED	candidates/auyl/1.jpg	https://assets.open-quryltai.org/candidates/auyl/1.jpg	Official Auyĺ party source; no separate image license declaration found.	2026-08-16T23:28:00Z
auyl	11	Арсютин Николай Геннадьевич	АРСЮТИН НИКОЛАЙ ГЕННАДЬЕВИЧ	Қазақстан Республикасы Парламенті Мәжілісінің VIII шақырылым депутаты	https://auyl.kz/kz/fraction	https://www.parlam.kz/ru/blogs/arsyutin/Biography	https://www.facebook.com/ekibastuz.deputat?mibextid=LQQJ4d|https://www.instagram.com/arsyutin_nikolai?igsh=ZDllaGV3MnB0c25p	https://auyl.kz/storage/deputies/June2024/SNUfzPFE4fmuBeAih1vo.jpg	1.000	0.516	MATCHED	UPLOADED	candidates/auyl/11.jpg	https://assets.open-quryltai.org/candidates/auyl/11.jpg	Official Auyĺ party source; no separate image license declaration found.	2026-08-16T23:28:02Z
auyl	23	Дайрабаев Жигули Молдакалыкович	ДАЙРАБАЕВ ЖИГУЛИ МОЛДАҚАЛЫҚҰЛЫ	Қазақстан Республикасы Парламенті Мәжілісінің VIII шақырылым депутаты	https://auyl.kz/kz/fraction	https://www.parlam.kz/ru/blogs/dayrabaev/Biography	https://www.facebook.com/profile.php?id=100035051646248&mibextid=LQQJ4d|https://www.instagram.com/zhiguli_dairabaev?igsh=MTEzdzA3MXcyZXRrag==	https://auyl.kz/storage/deputies/June2024/oFmzTpegDvPLWNvaNQlq.jpg	0.957	0.485	MATCHED	UPLOADED	candidates/auyl/23.jpg	https://assets.open-quryltai.org/candidates/auyl/23.jpg	Official Auyĺ party source; no separate image license declaration found.	2026-08-16T23:28:04Z
auyl	28	Егізбаев Серік Рахметоллаұлы	ЕГІЗБАЕВ СЕРІК РАХМЕТОЛЛАҰЛЫ	Қазақстан Республикасы Парламенті Мәжілісінің VIII шақырылым депутаты	https://auyl.kz/kz/fraction	https://mazhilis.parlam.kz/#/profile/736/biography	https://www.facebook.com/profile.php?id=100042229845477&mibextid=LQQJ4d|https://www.instagram.com/egizbaev_serik?igsh=MXc0YnJxeHd6c3NrNQ==	https://auyl.kz/storage/deputies/June2024/HVicAkcJhgGEbV0tuQLf.jpg	1.000	0.443	MATCHED	UPLOADED	candidates/auyl/28.jpg	https://assets.open-quryltai.org/candidates/auyl/28.jpg	Official Auyĺ party source; no separate image license declaration found.	2026-08-16T23:27:59Z
auyl	59	Саурыков Ерболат Байузакович	САУРЫҚОВ ЕРБОЛАТ БАЙҰЗАҚҰЛЫ	Қазақстан Республикасы Парламенті Мәжілісінің VIII шақырылым депутаты	https://auyl.kz/kz/fraction	https://www.parlam.kz/kk/blogs/saurykov/Biography	https://www.facebook.com/profile.php?id=100061648861920&mibextid=LQQJ4d|https://www.instagram.com/erbolat_saurykov?igsh=a3l0cDF2enZqbmZ2	https://auyl.kz/storage/deputies/June2024/ZGFAyBqQN0dI0HWujf8k.jpg	0.945	0.373	MATCHED	UPLOADED	candidates/auyl/59.jpg	https://assets.open-quryltai.org/candidates/auyl/59.jpg	Official Auyĺ party source; no separate image license declaration found.	2026-08-16T23:28:06Z
