party_id	candidates	women_share	women_top10	median_age	youth_share	incumbent_share	insider_share	state_share	top_executive_share	capital_share	places	sector_hhi	median_position_chars	photos_found
adilet	186	0.387	3	45	0.129	0.118	0.075	0.543	0.554	0.575	29	0.146	52	35
respublica	75	0.413	4	41	0.093	0.067	0.200	0.280	0.467	0.667	20	0.241	49	9
npk	72	0.250	3	44	0.125	0.056	0.319	0.292	0.486	0.750	18	0.191	65	9
auyl	69	0.290	2	48	0.101	0.000	0.333	0.319	0.478	0.536	24	0.208	68	5
ak_zhol	63	0.159	1	46	0.159	0.095	0.286	0.159	0.540	0.508	23	0.308	64	63
baitaq	47	0.234	2	46	0.085	0.000	0.170	0.170	0.447	0.660	15	0.373	43	47
osdp	33	0.303	4	47	0.182	0.121	0.879	0.061	0.576	0.455	16	0.776	53	6
