party_id	list_order	candidate_name	parliament_deputy_id	official_name	party_fraction	committee	region	official_position	official_source_url	avatar_source_url	facebook_url	instagram_url	youtube_url	match_score	match_margin	match_status	photo_status	r2_key	public_photo_url	asset_rights_note	collected_at	primary_photo_status	primary_r2_key	primary_public_photo_url
adilet	128	Пономарёв Сергей Михайлович	76	ПОНОМАРЕВ Сергей Михайлович	«AMANAT» партиясының фракциясы	Экология мәселелері және табиғат пайдалану комитеті		Комитет мүшесі	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/76/2024-01-23/%D0%9F%D0%BE%D0%BD%D0%BE%D0%BC%D0%B0%D1%80%D0%B5%D0%B2_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B8_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB%D0%BE%D0%B2%D0%B8%D1%87_2023_22.JPG	https://www.facebook.com/sponomarev3	https://www.instagram.com/reporterkz/		1.000	0.546	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:41Z	PROMOTED	candidates/adilet/128.jpg	https://assets.open-quryltai.org/candidates/adilet/128.jpg
adilet	133	Рожин Максим Николаевич	78	РОЖИН Максим Николаевич	«AMANAT» партиясының фракциясы	Халықаралық істер, қорғаныс және қауіпсіздік комитеті		Комитет мүшесі	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/78/2024-01-23/%D0%A0%D0%BE%D0%B6%D0%B8%D0%BD_%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87_2023_22.JPG	https://www.facebook.com/maksim.rojin	https://www.instagram.com/maxim.rozhin/		1.000	0.478	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:43Z	PROMOTED	candidates/adilet/133.jpg	https://assets.open-quryltai.org/candidates/adilet/133.jpg
adilet	136	Савельева Татьяна Михайловна	80	САВЕЛЬЕВА Татьяна Михайловна	«AMANAT» партиясының фракциясы	Қаржы және бюджет комитеті		Комитет Төрайымы	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/80/2024-12-10/%D0%A1%D0%B0%D0%B2%D0%B5%D0%BB%D1%8C%D0%B5%D0%B2%D0%B0_%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0_2023_22.JPG	https://www.facebook.com/profile.php?id=100090755131755	https://www.instagram.com/tatyana_savelyeva_official/		1.000	0.466	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:46Z	PROMOTED	candidates/adilet/136.jpg	https://assets.open-quryltai.org/candidates/adilet/136.jpg
adilet	141	Сайыр Ерлан Биахметұлы	84	САИРОВ Ерлан Бияхметұлы	«AMANAT» партиясының фракциясы	Әлеуметтік-мәдени даму комитеті	Шығыс-Қазақстан облысы	Комитет мүшесі	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/84/2024-01-23/%D0%A1%D0%B0%D0%B8%D1%80%D0%BE%D0%B2_%D0%95%D1%80%D0%BB%D0%B0%D0%BD_%D0%91%D0%B8%D1%8F%D1%85%D0%BC%D0%B5%D1%82%D0%BE%D0%B2%D0%B8%D1%87_2021_22.JPG	https://www.facebook.com/e.sairov	https://www.instagram.com/sairoverlan/		0.843	0.288	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:48Z	PROMOTED	candidates/adilet/141.jpg	https://assets.open-quryltai.org/candidates/adilet/141.jpg
adilet	144	Сарым Айдос Әміроллаұлы	87	САРЫМ Айдос Әміроллаұлы	«AMANAT» партиясының фракциясы	Халықаралық істер, қорғаныс және қауіпсіздік комитеті		Комитет хатшысы	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/87/2024-01-23/%D0%A1%D0%B0%D1%80%D1%8B%D0%BC_%D0%90%D0%B8%D0%B4%D0%BE%D1%81_%D3%98%D0%BC%D1%96%D1%80%D0%BE%D0%BB%D0%BB%D0%B0%D2%B1%D0%BB%D1%8B_2021_22.JPG				1.000	0.517	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:50Z	PROMOTED	candidates/adilet/144.jpg	https://assets.open-quryltai.org/candidates/adilet/144.jpg
adilet	148	Смышляева Екатерина Васильевна	94	СМЫШЛЯЕВА Екатерина Васильевна	«AMANAT» партиясының фракциясы	Экономикалық реформа және өңірлік даму комитеті	Қостанай облысы	Комитет хатшысы	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/94/2024-01-23/%D0%A1%D0%BC%D1%8B%D1%88%D0%BB%D1%8F%D0%B5%D0%B2%D0%B0_%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0_2021_62.JPG	https://www.facebook.com/smyshlyayeva	https://www.instagram.com/smyshlyayeva_yekaterina/		1.000	0.250	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:53Z	PROMOTED	candidates/adilet/148.jpg	https://assets.open-quryltai.org/candidates/adilet/148.jpg
adilet	181	Шапак Унзила	106	ШАПАҚ Үнзила None	«AMANAT» партиясының фракциясы	Заңнама және сот-құқықтық реформа комитеті		Комитет мүшесі	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/106/2024-01-23/%D0%A8%D0%B0%D0%BF%D0%B0%D0%BA_%D0%A3%D0%BD%D0%B7%D0%B8%D0%BB%D0%B0_2023_22.JPG	https://www.facebook.com/profile.php?id=100089979476116	https://www.instagram.com/unzila_shapak/		1.000	0.386	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:55Z	PROMOTED	candidates/adilet/181.jpg	https://assets.open-quryltai.org/candidates/adilet/181.jpg
adilet	182	Шаталов Никита Сергеевич	1703	ШАТАЛОВ Никита Сергеевич	«AMANAT» партиясының фракциясы	Экономикалық реформа және өңірлік даму комитеті		Комитет мүшесі	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/None/2024-04-02/%D0%A8%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B2_%D0%9D%D0%B8%D0%BA%D0%B8%D1%82%D0%B0_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87_2023_22.JPG				1.000	0.487	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:57Z	PROMOTED	candidates/adilet/182.jpg	https://assets.open-quryltai.org/candidates/adilet/182.jpg
ak_zhol	5	Барлыбаев Ерлан Хайланович	33	БАРЛЫБАЕВ Ерлан Хайланұлы	"""Ақ жол"" Қазақстан демократиялық партиясының фракциясы"	Экология мәселелері және табиғат пайдалану комитеті	Шығыс-Қазақстан облысы	Комитет мүшесі	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/33/2024-01-23/%D0%91%D0%B0%D1%80%D0%BB%D1%8B%D0%B1%D0%B0%D0%B5%D0%B2_%D0%95%D1%80%D0%BB%D0%B0%D0%BD_%D0%A5%D0%B0%D0%B8%D0%BB%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_2021_22.JPG				0.940	0.308	MATCHED	UPLOADED	candidates/ak_zhol/5/parliament.jpg	https://assets.open-quryltai.org/candidates/ak_zhol/5/parliament.jpg	Official Mazhilis directory source; no separate image license declaration found.	2026-08-16T23:33:36Z	SKIPPED_EXISTING_PHOTO		
ak_zhol	14	Ерубаев Серик Сарсенович	1962	ЕРУБАЕВ Серік Сәрсенұлы	"""Ақ жол"" Қазақстан демократиялық партиясының фракциясы"	Заңнама және сот-құқықтық реформа комитеті	Атырау облысы	Комитет мүшесі	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/1962/2024-12-10/%D0%95%D1%80%D1%83%D0%B1%D0%B0%D0%B5%D0%B2_%D0%A1%D0%B5%D1%80%D0%B8%D0%BA_%D0%A1%D0%B0%D1%80%D1%81%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_2024_22.JPG				0.940	0.248	MATCHED	UPLOADED	candidates/ak_zhol/14/parliament.jpg	https://assets.open-quryltai.org/candidates/ak_zhol/14/parliament.jpg	Official Mazhilis directory source; no separate image license declaration found.	2026-08-16T23:33:38Z	SKIPPED_EXISTING_PHOTO		
