party_id	status	chars	sanity_terms	language	source_url	document_url	method	detail	content_sha256	local_text
adilet	COLLECTED	153014	9	ru	https://adilet-partiyasy.kz/ru/kurultai/program	https://adilet-partiyasy.kz/api/media/uploads/kurultai-docs/ru-566c1b37-cf91-4c84-99d8-e99f1e04266c.pdf	PDF text layer via ghostscript	official programme document linked from the page; the page itself renders 4 summary chapters	0103559e998a25366d6ad971a00c82fb1442081691942e8cd2965ddd8b2aa688	data/work/programs/adilet.txt
ak_zhol	COLLECTED	48672	9	ru	https://akzhol.kz/ru/program		server-rendered HTML	site chrome trimmed: 806 chars of nav/contacts before the programme, 1332 of news feed and footer after	ce658a6c7c057c0cfbab8da33c5dedf0270d731a0ef83a7efdd9876a1d22f7b3	data/work/programs/ak_zhol.txt
auyl	COLLECTED	22019	8	ru	https://auyl.kz/	https://auyl.kz/docs/programma-ru.docx	.docx	Russian edition; a Kazakh .docx is also published	ea49fe80d7a740f5c7d9cf8691630b1f85712e5e587cd3e6e8023999a14d21ce	data/work/programs/auyl.txt
baitaq	COLLECTED	38014	9	ru	https://baytaq.kz/program	https://baytaq.kz/docs/Baytaq%20%D0%9F%D0%BB%D0%B0%D1%82%D1%84%D0%BE%D1%80%D0%BC%D0%B0%202026%20%D0%A0%D1%83%D1%81.pdf	PDF text layer via ghostscript	2026 platform. NOT the gov.kz /uploads/2023/ document, which is the 2023 programme: it mentions 2023-2025 and never 2026	4db69e9db51ad9d1ee527b1b837ade96a0cf77752388518b6032e1938f49bb50	data/work/programs/baitaq.txt
npk	COLLECTED	47292	9	ru	https://halykpartiyasy.kz/	https://halykpartiyasy.kz/documents/program-ru.pdf	PDF text layer via ghostscript	Direct document link; the site's /api/v1/pages/program is published but empty	8a13fcd57248994f0857005074e5f57c0f72f01f6f8d378c9372bc0234f326d4	data/work/programs/npk.txt
osdp	COLLECTED	34266	9	ru	https://osdp.kz/programma	https://osdp.kz/storage/app/media/programma-rus-na-sayt.pdf	PDF text layer via ghostscript	HTML page carries only a 4k excerpt	5c071774efd7a3a8fd198941453e125375004b1f9f9e5f5c01a70f72113adb79	data/work/programs/osdp.txt
respublica	COLLECTED	26526	9	ru	https://respublica-partiyasy.kz/	https://api.respublica-partiyasy.kz/uploads/2026/07/23/fbd38a6f0354877f9dadd35d01642993_141304.pdf	PDF text layer via ghostscript	Served from the API host; nothing links to it from the SPA HTML	8c4ec202e883658575de600be1bcb15a9ea7bee4fa8a842b962c8a4472e42468	data/work/programs/respublica.txt
