party_id	list_order	candidate_name	birth_year	wiki_language	page_id	page_title	page_url	wikidata_id	verification_status	evidence	country_context	current_extract	verified_at
ak_zhol	5	Барлыбаев Ерлан Хайланович	1967	ru	11310703	Барлыбаев, Ерлан Хайланович	https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D0%BB%D1%8B%D0%B1%D0%B0%D0%B5%D0%B2,_%D0%95%D1%80%D0%BB%D0%B0%D0%BD_%D0%A5%D0%B0%D0%B9%D0%BB%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87	Q136914094	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:41Z
ak_zhol	5	Барлыбаев Ерлан Хайланович	1967	ru	1307074	Барлыбаев	https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D0%BB%D1%8B%D0%B1%D0%B0%D0%B5%D0%B2	Q85858275	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:42Z
ak_zhol	6	Бейсенбаев Ержан Алмабекович	1990	ru	11226227	Бейсенбаев, Ержан Алмабекович	https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%B9%D1%81%D0%B5%D0%BD%D0%B1%D0%B0%D0%B5%D0%B2,_%D0%95%D1%80%D0%B6%D0%B0%D0%BD_%D0%90%D0%BB%D0%BC%D0%B0%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2%D0%B8%D1%87	Q136302810	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:42Z
ak_zhol	11	Дюсембинов Берик Салимжанович	1971	ru	11329078	Дюсембинов, Берик Салимжанович	https://ru.wikipedia.org/wiki/%D0%94%D1%8E%D1%81%D0%B5%D0%BC%D0%B1%D0%B8%D0%BD%D0%BE%D0%B2,_%D0%91%D0%B5%D1%80%D0%B8%D0%BA_%D0%A1%D0%B0%D0%BB%D0%B8%D0%BC%D0%B6%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87	Q137301422	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:43Z
ak_zhol	11	Дюсембинов Берик Салимжанович	1971	ru	11329484	Дюсембинов	https://ru.wikipedia.org/wiki/%D0%94%D1%8E%D1%81%D0%B5%D0%BC%D0%B1%D0%B8%D0%BD%D0%BE%D0%B2	Q138440101	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:44Z
ak_zhol	14	Ерубаев Серик Сарсенович	1968	ru	11351842	Ерубаев, Серик Сарсенович	https://ru.wikipedia.org/wiki/%D0%95%D1%80%D1%83%D0%B1%D0%B0%D0%B5%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B8%D0%BA_%D0%A1%D0%B0%D1%80%D1%81%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87	Q137665715	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:45Z
ak_zhol	14	Ерубаев Серик Сарсенович	1968	ru	11327658	Ерубаев	https://ru.wikipedia.org/wiki/%D0%95%D1%80%D1%83%D0%B1%D0%B0%D0%B5%D0%B2		NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:45Z
ak_zhol	15	Еспаева Дания Мадиевна	1961	ru	7866540	Еспаева, Дания Мадиевна	https://ru.wikipedia.org/wiki/%D0%95%D1%81%D0%BF%D0%B0%D0%B5%D0%B2%D0%B0,_%D0%94%D0%B0%D0%BD%D0%B8%D1%8F_%D0%9C%D0%B0%D0%B4%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0	Q64494872	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:46Z
ak_zhol	21	Иса Қазыбек Жарылқасынұлы	1962	ru	8658945	Иса, Казыбек Жарылкасынулы	https://ru.wikipedia.org/wiki/%D0%98%D1%81%D0%B0,_%D0%9A%D0%B0%D0%B7%D1%8B%D0%B1%D0%B5%D0%BA_%D0%96%D0%B0%D1%80%D1%8B%D0%BB%D0%BA%D0%B0%D1%81%D1%8B%D0%BD%D1%83%D0%BB%D1%8B	Q12573678	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:47Z
ak_zhol	21	Иса Қазыбек Жарылқасынұлы	1962	kk	55092	Қазыбек Жарылқасынұлы Иса	https://kk.wikipedia.org/wiki/%D2%9A%D0%B0%D0%B7%D1%8B%D0%B1%D0%B5%D0%BA_%D0%96%D0%B0%D1%80%D1%8B%D0%BB%D2%9B%D0%B0%D1%81%D1%8B%D0%BD%D2%B1%D0%BB%D1%8B_%D0%98%D1%81%D0%B0	Q12573678	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:47Z
ak_zhol	31	Ли Юрий Виссарионович	1977	ru	9229210	Ли, Юрий Виссарионович	https://ru.wikipedia.org/wiki/%D0%9B%D0%B8,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%92%D0%B8%D1%81%D1%81%D0%B0%D1%80%D0%B8%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87	Q112991645	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:48Z
ak_zhol	31	Ли Юрий Виссарионович	1977	ru	3010	Сталин, Иосиф Виссарионович	https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D0%BB%D0%B8%D0%BD,_%D0%98%D0%BE%D1%81%D0%B8%D1%84_%D0%92%D0%B8%D1%81%D1%81%D0%B0%D1%80%D0%B8%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87	Q855	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:49Z
ak_zhol	32	Линник Андрей Григорьевич	1974	ru	9867294	Линник, Андрей Григорьевич	https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D0%BD%D0%BD%D0%B8%D0%BA,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87	Q115000973	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:49Z
ak_zhol	40	Нуралдинов Олжас Ельтайулы	1989	ru	11294539	Нуралдинов, Олжас Ельтайулы	https://ru.wikipedia.org/wiki/%D0%9D%D1%83%D1%80%D0%B0%D0%BB%D0%B4%D0%B8%D0%BD%D0%BE%D0%B2,_%D0%9E%D0%BB%D0%B6%D0%B0%D1%81_%D0%95%D0%BB%D1%8C%D1%82%D0%B0%D0%B9%D1%83%D0%BB%D1%8B	Q136817328	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:50Z
ak_zhol	42	Перуашев Азат Турлыбекулы	1967	ru	3884228	Перуашев, Азат Турлыбекулы	https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D1%83%D0%B0%D1%88%D0%B5%D0%B2,_%D0%90%D0%B7%D0%B0%D1%82_%D0%A2%D1%83%D1%80%D0%BB%D1%8B%D0%B1%D0%B5%D0%BA%D1%83%D0%BB%D1%8B	Q17489784	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:51Z
ak_zhol	52	Тастекей Дулат Тұрсынұлы	1982	kk	635711	Дулат Тұрсынұлы Тастекей	https://kk.wikipedia.org/wiki/%D0%94%D1%83%D0%BB%D0%B0%D1%82_%D0%A2%D2%B1%D1%80%D1%81%D1%8B%D0%BD%D2%B1%D0%BB%D1%8B_%D0%A2%D0%B0%D1%81%D1%82%D0%B5%D0%BA%D0%B5%D0%B9	Q97211898	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:51Z
auyl	1	Абден Қарақат Жақсылыққызы	1974	ru	9972927	Абден, Каракат Жаксылыккызы	https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D0%B5%D0%BD,_%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D0%B0%D1%82_%D0%96%D0%B0%D0%BA%D1%81%D1%8B%D0%BB%D1%8B%D0%BA%D0%BA%D1%8B%D0%B7%D1%8B	Q114900150	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:52Z
auyl	7	Айтуганов Кайрат Капарович	1962	ru	11534119	Айтуганов, Кайрат Капарович	https://ru.wikipedia.org/wiki/%D0%90%D0%B9%D1%82%D1%83%D0%B3%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%9A%D0%B0%D0%B9%D1%80%D0%B0%D1%82_%D0%9A%D0%B0%D0%BF%D0%B0%D1%80%D0%BE%D0%B2%D0%B8%D1%87	Q140345417	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:53Z
auyl	11	Арсютин Николай Геннадьевич	1970	ru	11304699	Арсютин, Николай Геннадьевич	https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%81%D1%8E%D1%82%D0%B8%D0%BD,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D1%8C%D0%B5%D0%B2%D0%B8%D1%87	Q136817499	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:54Z
auyl	23	Дайрабаев Жигули Молдакалыкович	1954	ru	9903194	Дайрабаев, Жигули Молдакалыкович	https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%B9%D1%80%D0%B0%D0%B1%D0%B0%D0%B5%D0%B2,_%D0%96%D0%B8%D0%B3%D1%83%D0%BB%D0%B8_%D0%9C%D0%BE%D0%BB%D0%B4%D0%B0%D0%BA%D0%B0%D0%BB%D1%8B%D0%BA%D0%BE%D0%B2%D0%B8%D1%87	Q114347425	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:54Z
auyl	23	Дайрабаев Жигули Молдакалыкович	1954	ru	4411148	Дайрабаев	https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%B9%D1%80%D0%B0%D0%B1%D0%B0%D0%B5%D0%B2		NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:55Z
auyl	23	Дайрабаев Жигули Молдакалыкович	1954	kk	688750	Жигули Молдақалықұлы Дайрабаев	https://kk.wikipedia.org/wiki/%D0%96%D0%B8%D0%B3%D1%83%D0%BB%D0%B8_%D0%9C%D0%BE%D0%BB%D0%B4%D0%B0%D2%9B%D0%B0%D0%BB%D1%8B%D2%9B%D2%B1%D0%BB%D1%8B_%D0%94%D0%B0%D0%B9%D1%80%D0%B0%D0%B1%D0%B0%D0%B5%D0%B2	Q114347425	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:56Z
auyl	28	Егізбаев Серік Рахметоллаұлы	1963	kk	754074	Серік Рахметоллаұлы Егізбаев	https://kk.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D1%96%D0%BA_%D0%A0%D0%B0%D1%85%D0%BC%D0%B5%D1%82%D0%BE%D0%BB%D0%BB%D0%B0%D2%B1%D0%BB%D1%8B_%D0%95%D0%B3%D1%96%D0%B7%D0%B1%D0%B0%D0%B5%D0%B2	Q132775605	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:56Z
auyl	59	Саурыков Ерболат Байузакович	1971	ru	10991399	Саурыков, Ерболат Байузакович	https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D1%83%D1%80%D1%8B%D0%BA%D0%BE%D0%B2,_%D0%95%D1%80%D0%B1%D0%BE%D0%BB%D0%B0%D1%82_%D0%91%D0%B0%D0%B9%D1%83%D0%B7%D0%B0%D0%BA%D0%BE%D0%B2%D0%B8%D1%87	Q133797887	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:57Z
auyl	65	Траисова Эльмара Аскаровна	1967	ru	10959270	Траисова, Эльмара Аскаровна	https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B0%D0%B8%D1%81%D0%BE%D0%B2%D0%B0,_%D0%AD%D0%BB%D1%8C%D0%BC%D0%B0%D1%80%D0%B0_%D0%90%D1%81%D0%BA%D0%B0%D1%80%D0%BE%D0%B2%D0%BD%D0%B0	Q133797580	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:58Z
npk	61	Сейтжан Кенжеғұл Социалұлы	1982	ru	10290432	Сейтжан, Кенжегул Социалулы	https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B9%D1%82%D0%B6%D0%B0%D0%BD,_%D0%9A%D0%B5%D0%BD%D0%B6%D0%B5%D0%B3%D1%83%D0%BB_%D0%A1%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%83%D0%BB%D1%8B	Q124769456	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:59Z
npk	61	Сейтжан Кенжеғұл Социалұлы	1982	kk	740263	Кенжеғұл Социалұлы Сейтжан	https://kk.wikipedia.org/wiki/%D0%9A%D0%B5%D0%BD%D0%B6%D0%B5%D2%93%D2%B1%D0%BB_%D0%A1%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D2%B1%D0%BB%D1%8B_%D0%A1%D0%B5%D0%B9%D1%82%D0%B6%D0%B0%D0%BD	Q124769456	NEEDS_REVIEW	country-context:kazakhstan	KAZAKHSTAN	Кенжеғұл Социалұлы Сейтжан (29 шілде 1982, Амангелді ауылы, Амангелді ауданы, Қостанай облысы, Қазақ КСР) — қазақстандық қоғам қайраткер, паралимпиадалық спортшы, Қазақстан Парламенті Мәжілісінің VIII сайланым депутаты (2023 жылдан бастап).	2026-08-16T22:25:59Z
npk	63	Смирнова Ирина Владимировна	1960	ru	8291406	Смирнова, Ирина Владимировна	https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%B8%D1%80%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%98%D1%80%D0%B8%D0%BD%D0%B0_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0	Q97316001	VERIFIED	exact-current-title,birth-year-match,country-context:kazakhstan	KAZAKHSTAN	Смирнова, Ирина Владимировна: Смирнова, Ирина Владимировна (род. 1960) — депутат Мажилиса Парламента Казахстана VI созыва. Смирнова, Ирина Владимировна (род. 1981) — российская волейболистка сидя.	2026-08-16T22:26:00Z
npk	63	Смирнова Ирина Владимировна	1960	ru	8426792	Смирнова, Ирина Владимировна (политик)	https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%B8%D1%80%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%98%D1%80%D0%B8%D0%BD%D0%B0_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0_(%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA)	Q97591795	NEEDS_REVIEW	birth-year-match,country-context:kazakhstan	KAZAKHSTAN	Ирина Владимировна Смирнова (род. 21 июля 1960 года, Иссык-Кульская область, Киргизская ССР) — казахстанский политический деятель, депутат мажилиса парламента Казахстана VI—VIII созывов (2016—2026). Заслуженный учитель Казахстана (2026).	2026-08-16T22:26:01Z
npk	63	Смирнова Ирина Владимировна	1960	kk	746472	Ирина Владимировна Смирнова	https://kk.wikipedia.org/wiki/%D0%98%D1%80%D0%B8%D0%BD%D0%B0_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0_%D0%A1%D0%BC%D0%B8%D1%80%D0%BD%D0%BE%D0%B2%D0%B0	Q97591795	NEEDS_REVIEW	country-context:kazakhstan	KAZAKHSTAN	Ирина Владимировна Смирнова (21 шілде 1960 ,Ыстықкөл облысы, Қырғыз КСР) — қазақстандық мемлекеттік қайраткер, мәжілісмен (2016-).	2026-08-16T22:26:02Z
npk	64	Сүлеймен Ләззат Жаңылысқызы	1961	kk	117109	Ләззат Жаңылысқызы Сүлеймен	https://kk.wikipedia.org/wiki/%D0%9B%D3%99%D0%B7%D0%B7%D0%B0%D1%82_%D0%96%D0%B0%D2%A3%D1%8B%D0%BB%D1%8B%D1%81%D2%9B%D1%8B%D0%B7%D1%8B_%D0%A1%D2%AF%D0%BB%D0%B5%D0%B9%D0%BC%D0%B5%D0%BD	Q12552161	NEEDS_REVIEW	country-context:kazakhstan	KAZAKHSTAN	Ләззат Жаңылысқызы Сүлеймен. 1961 жылы 10 ақпанда Талдықорған облысы Ақсу ауданы Жансүгіров ауылында туған. Қазақ. Әкесі - Сүлейменов Жаңылыс Қожаханұлы, бөлімше меңгерушісі болған. Анасы - Жексембекова Тұрарбану, жұмысшы болған. Абай атындағы Қазақ педагогикалық институтының математика факультетін (1983) математика пәнінің мұғалімі мамандығы бойынша; Ресей мемлекеттік әлеуметтік институтының экономика факультетін (Мәскеу қаласы, 1992) экономист-менеджер мамандығы бойынша бітірген. Қазақ және орыс тілдерін біледі. 1977-1979 жылдары - Талдықорған облысы Ақсу ауданы ҚҒЗИЗ-ы Ақсу Тәжірибе жасау шаруашылығының жұмысшысы. 1983 жылдан -Талдықорған облысы Ақсу ауданы Жансүгіров кентінде Чапаев атындағы орта мектепте математика пәнінің мұғалімі, директордың орынбасары. 1986-1990 жылдары - Талдықорған облысы Қазақстан ЛКЖО Ақсу аудандық комитетінің бірінші хатшысы. 1992 жылдан - Талдықорған облыстық Жастар ісі комитетінің төрағасы, Талдықорған облыстық Жастар ісі, туризм және спорт басқармасының...	2026-08-16T22:26:02Z
npk	71	Шоканов Нурсултан Нурланович	1986	ru	11513606	Шоканов, Нурсултан Нурланович	https://ru.wikipedia.org/wiki/%D0%A8%D0%BE%D0%BA%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%9D%D1%83%D1%80%D1%81%D1%83%D0%BB%D1%82%D0%B0%D0%BD_%D0%9D%D1%83%D1%80%D0%BB%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87	Q140367191	VERIFIED	exact-current-title,birth-year-match,country-context:kazakhstan	KAZAKHSTAN	Нурсулта́н Нурла́нович Шока́нов (каз. Нұрсұлтан Нұрланұлы Шоқанов; род. 20 января 1986, Алматы, Казахская ССР, СССР) — казахстанский общественный деятель и предприниматель. Председатель Народной партии Казахстана с 2026 года. Депутат Маслихата Алматы с 2021 по 2025 годы.	2026-08-16T22:26:03Z
osdp	8	Ауесбаев Нурлан Сатыбалдиевич	1957	ru	9915948	Ауесбаев, Нурлан Сатыбалдиевич	https://ru.wikipedia.org/wiki/%D0%90%D1%83%D0%B5%D1%81%D0%B1%D0%B0%D0%B5%D0%B2,_%D0%9D%D1%83%D1%80%D0%BB%D0%B0%D0%BD_%D0%A1%D0%B0%D1%82%D1%8B%D0%B1%D0%B0%D0%BB%D0%B4%D0%B8%D0%B5%D0%B2%D0%B8%D1%87	Q114569007	VERIFIED	exact-current-title,birth-year-match,country-context:kazakhstan	KAZAKHSTAN	Нурлан Сатыбалдиевич Ауесбаев (каз. Нұрлан Сатыбалдыұлы Әуесбаев; род. 17 мая 1957, Алгабас, Чаяновский район, Южно-Казахстанская область) — казахстанский политический деятель. Депутат Мажилиса парламента Казахстана VIII созыва от Общенациональной социал-демократической партии с 2023 до упразднения Парламента в 2026 году. Кандидат в президенты Казахстана на выборах 2022 года от ОСДП.	2026-08-16T22:26:04Z
