party_id	list_order	candidate_name	official_name_kk	official_summary_kk	official_source_url	photo_source_url	match_score	match_margin	match_status	photo_status	r2_key	public_photo_url	asset_rights_note	collected_at	portrait_crop_status	portrait_r2_key	portrait_public_url	portrait_crop_box
ak_zhol	11	Дюсембинов Берик Салимжанович	ДҮЙСЕМБИНОВ Берік Сәлімжанұлы	«Ақ жол» Демократиялық партиясы Саяси кеңесінің мәслихаттармен жұмыс жөніндегі хатшысы;	https://akzhol.kz/kk/blog/a-zhol-demokratiial-partiias-sajlauald-badarlamas-men-rltaj-deputattna-kandidattar-tzmn-bektt	https://akzhol.kz/uploads/178324759010.jpg	0.904	0.321	MATCHED	CROPPED_AND_UPLOADED	candidates/ak_zhol/11.jpg	https://assets.open-quryltai.org/candidates/ak_zhol/11.jpg	Official Aq Jol party source; no separate image license declaration found.	2026-08-16T23:11:33Z	REPLACED_ORIGINAL			x=636,y=87,width=316,height=350
ak_zhol	12	Егинбаев Ермек Молдакулович	ЕГІНБАЕВ Ермек Молдақұлұлы	«Ақ жол» Демократиялық партиясы Жетісу облыстық филиалының төрағасы, Жетісу облыстық мәслихатының VIІI шақырылым депутаты;	https://akzhol.kz/kk/blog/a-zhol-demokratiial-partiias-sajlauald-badarlamas-men-rltaj-deputattna-kandidattar-tzmn-bektt	https://akzhol.kz/uploads/178324760111.jpg	0.950	0.387	MATCHED	CROPPED_AND_UPLOADED	candidates/ak_zhol/12.jpg	https://assets.open-quryltai.org/candidates/ak_zhol/12.jpg	Official Aq Jol party source; no separate image license declaration found.	2026-08-16T23:11:34Z	REPLACED_ORIGINAL			x=636,y=87,width=316,height=350
ak_zhol	13	Елубаева Марал Куандыковна	ЕЛУБАЕВА Марал Қуандыққызы	«П.М. Поспелов атындағы Қарағанды медицина университеті» КеАҚ Педиатрия мектебінің деканы;	https://akzhol.kz/kk/blog/a-zhol-demokratiial-partiias-sajlauald-badarlamas-men-rltaj-deputattna-kandidattar-tzmn-bektt	https://akzhol.kz/uploads/178324761212.jpg	0.945	0.417	MATCHED	CROPPED_AND_UPLOADED	candidates/ak_zhol/13.jpg	https://assets.open-quryltai.org/candidates/ak_zhol/13.jpg	Official Aq Jol party source; no separate image license declaration found.	2026-08-16T23:11:36Z	REPLACED_ORIGINAL			x=636,y=87,width=316,height=350
ak_zhol	14	Ерубаев Серик Сарсенович	ЕРУБАЕВ Серік Сәрсенұлы	«Ақ жол» Демократиялық партиясы төрағасының орынбасары, ҚР Парламент Мәжілісінің VIII шақырылым депутаты;	https://akzhol.kz/kk/blog/a-zhol-demokratiial-partiias-sajlauald-badarlamas-men-rltaj-deputattna-kandidattar-tzmn-bektt	https://akzhol.kz/uploads/178324762513.jpg	0.940	0.352	MATCHED	CROPPED_AND_UPLOADED	candidates/ak_zhol/14.jpg	https://assets.open-quryltai.org/candidates/ak_zhol/14.jpg	Official Aq Jol party source; no separate image license declaration found.	2026-08-16T23:11:38Z	REPLACED_ORIGINAL			x=636,y=87,width=316,height=350
ak_zhol	15	Еспаева Дания Мадиевна	ЕСПАЕВА Дания Мәдиқызы	«Ақ жол» Демократиялық партиясының төрағасы, ҚР Парламент Мәжілісінің VIII шақырылым Вице спикері, ҚР тарихындағы Президенттікке кандидат болған алғашқы әйел (2019 ж.);	https://akzhol.kz/kk/blog/a-zhol-demokratiial-partiias-sajlauald-badarlamas-men-rltaj-deputattna-kandidattar-tzmn-bektt	https://akzhol.kz/uploads/178324763714.jpg	0.925	0.402	MATCHED	CROPPED_AND_UPLOADED	candidates/ak_zhol/15.jpg	https://assets.open-quryltai.org/candidates/ak_zhol/15.jpg	Official Aq Jol party source; no separate image license declaration found.	2026-08-16T23:11:39Z	REPLACED_ORIGINAL			x=636,y=87,width=316,height=350
ak_zhol	16	Жалмуканова Лаззат Жумагуловна	ЖАЛМҰҚАНОВА Ләззат Жұмағұлқызы	Петропавл қалалық мәслихатының VIII шақырылым депутаты;	https://akzhol.kz/kk/blog/a-zhol-demokratiial-partiias-sajlauald-badarlamas-men-rltaj-deputattna-kandidattar-tzmn-bektt	https://akzhol.kz/uploads/178324766715.jpg	0.950	0.403	MATCHED	CROPPED_AND_UPLOADED	candidates/ak_zhol/16.jpg	https://assets.open-quryltai.org/candidates/ak_zhol/16.jpg	Official Aq Jol party source; no separate image license declaration found.	2026-08-16T23:11:41Z	REPLACED_ORIGINAL			x=636,y=87,width=316,height=350
ak_zhol	17	Жампиисов Рамазан Купесбаевич	ЖАМПИИСОВ Рамазан Көпесбайұлы	ЖШС «EcoSolutions Group» Бас директоры;	https://akzhol.kz/kk/blog/a-zhol-demokratiial-partiias-sajlauald-badarlamas-men-rltaj-deputattna-kandidattar-tzmn-bektt	https://akzhol.kz/uploads/178324810816.jpg	0.941	0.396	MATCHED	CROPPED_AND_UPLOADED	candidates/ak_zhol/17.jpg	https://assets.open-quryltai.org/candidates/ak_zhol/17.jpg	Official Aq Jol party source; no separate image license declaration found.	2026-08-16T23:11:42Z	REPLACED_ORIGINAL			x=636,y=87,width=316,height=350
ak_zhol	18	Жаукебаев Бек-Мүхаммед Мейірбекұлы	ЖАУКЕБАЕВ Бек-Мұхамед Мейірбекұлы	«Ақ жол» Демократиялық партиясы Жастар кеңесінің мүшесі, Ұлттық Жастар дебаттық лигасының негізін қалаушы;	https://akzhol.kz/kk/blog/a-zhol-demokratiial-partiias-sajlauald-badarlamas-men-rltaj-deputattna-kandidattar-tzmn-bektt	https://akzhol.kz/uploads/178324769617.jpg	0.990	0.430	MATCHED	CROPPED_AND_UPLOADED	candidates/ak_zhol/18.jpg	https://assets.open-quryltai.org/candidates/ak_zhol/18.jpg	Official Aq Jol party source; no separate image license declaration found.	2026-08-16T23:11:44Z	REPLACED_ORIGINAL			x=636,y=87,width=316,height=350
ak_zhol	19	Жутаев Махаббат Сагынбаевич	ЖҰТАЕВ Махаббат Сағынбайұлы	«Ақ жол» Демократиялық партиясы Қостанай облыстық филиалының төрағасы, Қостанай облыстық мәслихатының VIІI шақырылым депутаты;	https://akzhol.kz/kk/blog/a-zhol-demokratiial-partiias-sajlauald-badarlamas-men-rltaj-deputattna-kandidattar-tzmn-bektt	https://akzhol.kz/uploads/178324814019.jpg	0.954	0.468	MATCHED	CROPPED_AND_UPLOADED	candidates/ak_zhol/19.jpg	https://assets.open-quryltai.org/candidates/ak_zhol/19.jpg	Official Aq Jol party source; no separate image license declaration found.	2026-08-16T23:11:47Z	REPLACED_ORIGINAL			x=636,y=87,width=316,height=350
ak_zhol	20	Ибатуллина Эльмира Павловна	ИБАТУЛЛИНА Эльмира	«First Legal Consulting Group» ЖШС басқарушы серіктесі;	https://akzhol.kz/kk/blog/a-zhol-demokratiial-partiias-sajlauald-badarlamas-men-rltaj-deputattna-kandidattar-tzmn-bektt	https://akzhol.kz/uploads/178324815520.jpg	1.000	0.440	MATCHED	CROPPED_AND_UPLOADED	candidates/ak_zhol/20.jpg	https://assets.open-quryltai.org/candidates/ak_zhol/20.jpg	Official Aq Jol party source; no separate image license declaration found.	2026-08-16T23:11:49Z	REPLACED_ORIGINAL			x=636,y=87,width=316,height=350
