id	position_raw
114	заместитель директора ТОО «Газета «Наш Костанай», редактор ИА «Тобол Инфо»
115	председатель Астанинского филиала ДПК «Ак жол», председатель постоянной комиссии маслихата города Астана по вопросам социально-культурного развития
116	директор ТОО «Стройгрупп PVL»
117	председатель постоянной комиссии по социальным вопросам Акмолинского областного маслихата
118	основатель и управляющий группы компаний «TASGROUP», Генеральный директор ТОО «МФО «TAS FINANSCE GROUP»
119	директор ресторана «Жібек жолы»
120	председатель постоянной комиссии по инвестициям и развитию городской комфортной среды маслихата города Шымкент
121	заместитель директора ТОО «Арал газ»
122	индивидуальный предприниматель, юрист международного фонда защиты свободы слова «Адил сөз»
123	заместитель директора департамента стратегии ТОО «Корпорация «Казахмыс»
124	директор ИП «Мағжан», депутат областного маслихата по Западно-Казахстанской области
125	учитель истории Назарбаев интеллектуальная школа в городе Астана
126	Генеральный директор ТОО ДП «Жаркент»
127	депутат городского маслихата города Шымкент, директор кооператива «BIOMAK»
128	председатель Алматинского областного филиала ДПК «Ак жол», заместитель директора ТОО «Специализированное предприятие по обработке камня»
129	председатель Атырауского областного филиала ДПК «Ак жол», директор ТОО «Атырау көлік құрылыс»
130	член Политсовета «Партии «Ауыл»
131	руководитель ТОО «Бірлік АЖА»
132	советник председателя «Партии «Ауыл»
133	председатель регионального филиала «Партии «Ауыл» по городу Астана, генеральный директор горнодобывающего ТОО «Aksenger mining»
134	председатель регионального филиала «Партии «Ауыл» по Восточно-Казахстанской области , директор ТОО «Опытное хозяйство масличных культур», депутат маслихата Восточно-Казахстанской области
135	директор ТОО «АвтоНурМах»
136	председатель «Партии «Ауыл»
137	редактор газеты «Сыр Дидары»
138	руководитель ТОО «Алтын Жулдыз»
139	директор ТОО «Ремспецстрой», директор ТОО «Улдана»
140	директор филиала «Есиль су» РГП на ПХВ» Казводхоз» МВРИ РК
141	заведующая кафедрой Шәкәрім университета
142	председатель Жетысуского регионального филиала «Партии «Ауыл», руководитель Жетысуского филиала РГП «Республиканский противоэпизоотический отряд»
143	председатель регионального филиала «Партии «Ауыл» по Атырауской области
144	декан факультета экономики и права Костанайского университета им. А. Байтұрсынұлы
145	заместитель председателя «Партии «Ауыл»-руководитель Центрального аппарата
146	директор Общественного фонда «ITeachMe» центр развития компетенций», внештатный советник министра труда и социальной защиты населения Республики Казахстан
147	председатель регионального филиала «Партии «Ауыл» по Алматинской области
148	исполнительный директор общественного фонда «Саналы Қоғам»
149	руководитель ТОО «Металл-инжениринг»
150	член Политсовета «Партии «Ауыл», председатель правления «Ассоциация фермеров Казахстана»
151	директор ТОО «Александровское»
152	учредитель ТОО «Basic Agro»
153	член совета директоров ТОО «Батыс Пауэр»
154	частное учреждение «Samruk Business Academy», заместитель генерального директора
155	первый заместитель председателя «Партии «Ауыл»
156	председатель регионального филиала «Партии «Ауыл» по области Ұлытау, ТОО «Корпорация Казахмыс», главный специалист
157	директор ТОО «Батыс Өнім»
158	индивидуальный предприниматель, ИП «Жумагулова»
159	заместитель директора филиала Академии государственного управления при Президенте Республики Казахстан по городу Алматы
160	заместитель председателя Комитета государственной инспекции в агропромышленном комплексе Министерства сельского хозяйства Республики Казахстан
161	ректор Костанайского инженерно-экономического университета им. М. Дулатова
162	руководитель Управления сельского хозяйства Восточно-Казахстанской области
163	председатель Туркестанского областного филиала «Партии «Ауыл»
164	председатель Шымкентского городского регионального филиала «Партии «Ауыл»
165	директор ТОО «BS Aqro продукт»
166	ТОО «Национальный центр биотехнологии», заведующий лабораторией биоразнообразия и генетических ресурсов
167	Северо-Казахстанский областной маслихат, председатель постоянной комиссии Северо-Казахстанского областного маслихата по вопросам охраны здоровья населения, его социальной защиты, образования, культуры и делам молодежи
168	председатель Алматинского городского филиала «Партии «Ауыл»
169	председатель регионального филиала «Партии «Ауыл» по Жамбылской области
170	генеральный директор ТОО «Bugin Holding Corp»
171	директор департамента стратегического планирования и анализа Министерства экологии и природных ресурсов Республики Казахстан
172	ведущий научный сотрудник РГП на ПХВ «Институт биологии и биотехнологии растений» КН МНВО РК
173	советник генерального директора ТОО «Гранит Талес-Электроникс»
174	председатель регионального филиала «Партии «Ауыл» по Кызылординской области, депутат областного маслихата
175	заместитель директора филиала НАО «Государственная корпорация «Правительство для граждан»
176	председатель постоянной комиссии Алматинского областного маслихата по вопросам здравоохранения, образования, социальной защиты населения, развития культуры и спорта»
177	председатель регионального филиала «Партии «Ауыл» по Мангистауской области
178	депутат маслихата области Ұлытау, председатель сельскохозяйственного производственного кооператива «Жетіконыр»
179	заместитель руководителя аппарата «Партии «Ауыл»
180	директор ТОО «Vista Company 2010»
181	генеральный директор ТОО «ЮДИ принт»
182	председатель молодежного крыла «Аuyl jastary» при «Партии «Ауыл»
183	председатель постоянной комиссии Мангистауского областного маслихата
184	руководитель научно-производственного центра зернового хозяйства им. А.И. Бараева
185	профессор Павлодарского педагогического университета им. А. Маргулана
186	учредитель учреждения «Международный Таразский университет им. Шерхана Муртазы»
187	директор Актюбинского филиала «Национального центра экспертизы и сертификации»
188	руководитель аппарата фракции «Партии «Ауыл» в Мажилисе Парламента Республики Казахстан
189	председатель Общественного объединения «Общество инвалидов» Capable Group», директор ТОО «Төрт Таға»
190	декан аграрного факультета ЮКЗУ им. М. Ауэзова
191	вице-президент холдинговой компании АО «Aitas-KZ»
192	учитель Школа-гимназия №34 им. Асана Тайманова города Уральска
193	менеджер проекта в КХ «Нуралы»
194	НАО «Медицинский университет Астана», председатель правления - ректор
195	заведующая отделом аппарата Мажилиса Парламента Республики Казахстан
196	индивидуальный предприниматель «Bilgir Studio»
197	президент учреждения «Международная академия экологии», председатель ОЮЛ «Международная ассоциация производителей экологической чистой продукции»
198	директор НИИ «Центр исследования цифрового права и глобальных технологий»
199	председатель Казахстанской партии зеленых «Байтақ»
200	адвокат Туркестанской областной коллегии адвокатов
201	юрист Казахстанской партии зеленых «Байтақ»
202	директор ТОО «Tau Ken Geology»
203	главный врач ТОО «Медицинский центр клеточных технологий»
204	генеральный директор ТОО «БатысСуШар»
205	директор ТОО «Baiterek Engineering»
206	председатель Акмолинского областного филиала Казахстанской партии зеленых «Байтақ»
207	заместитель директора ТОО «Paradigm Shift»
208	ИП «ArtLab»
209	исполнительный секретарь Восточно- Казахстанского областного филиала Казахстанской партии зеленых «Байтақ»
210	директор ТОО «СПМК-5»
211	заместитель директора АО «НК «ҚТЖ» - дирекция магистральной сети
212	общественный деятель
213	председатель Президиума Республиканской палаты частных судебных исполнителей
214	директор ТОО «Семстройлидер»
215	председатель постоянной комиссии по социальному и культурному развитию Атырауского областного маслихата
216	заместитель заведующего отделом аппарата Мажилиса Парламента РК
217	менеджер проекта ТОО «Salplanet»
218	исполнительный директор KTZ Express
219	секретарь по вопросам зеленой экономики Казахстанской партии зелёных «Байтақ»
220	заместитель директора ТОО «ATON+»
221	директор ТОО «Наше право»
222	первый заместитель председателя правления НАО «Республиканская физико- математическая школа»
223	специалист по коммерциализацииТОО «Азия-Auto Казахстан»
224	самозанятая
225	ИП «Alma»
226	руководитель Центрального аппарата Казахстанской партии зеленых «Байтақ»
227	самозанятый
228	начальник отдела охраны окружающей среды ТОО «ПетроКазахстан Ойл Продактс»
229	учитель школы-гимназии № 131
230	директор ТОО «КазОйлЭнерджи»
231	ИП «Томирис»
232	директор ТОО «Bbi Project»
233	руководитель аппарата ГУ «Аппарат акима Толебийского района Туркестанской области»
234	генеральный директор ТОО «Атыраугидрогеология»
235	врач стамотолог стоматологии ALFA-DENT»
236	заместитель директора ГККП «Колледж № 7» управления образования Туркестанской области
237	директор ТОО «Eco Madeniet»
238	управляющий директор по безопасности ТОО «RS-ЖОЛ СЕРВИС»
239	директор ТОО «Астанинская Энергосбытовая компания»
240	исполнительный секретарь Казахстанской партии зеленых «Байтақ»
241	начальник отдела бурения и КПРС ТОО «KazPetrol Group»
242	директор ТОО «АS-ЖОЛ СЕРВИС»
243	советник директора ТОО «Inter Group Story Invest»
244	член правления Союза машиностроителей Казахстана
245	председатель Павлодарского областного филиала ОО «Народная партия Казахстана»
246	председатель Жамбылского областного филиала ОО «Народная партия Казахстана»
247	генеральный директор РГП на ПХВ «Республиканский научно-исследовательский институт по охране труда»
248	артист-солист эстрадного отдела РГКП Государственная академическая концертная организация «Қазақконцерт имени Розы Баглановой» Комитета культуры Министерства культуры и информации Республики Казахстан. председатель Комиссии по культуре Общественного совета Министерства культуры и информации Республики Казахстан
249	председатель совета директоров ТОО «Астана Авто Снаб Сервис-НС»
250	директор Союза проектных компаний Казахстана
251	советник председателя ОО «Народная партия Казахстана»
252	руководитель индивидуального предприятия «Аскарбекова»
253	старший преподаватель КазНУ имени Аль-Фараби
254	заместитель председателя ОО «Народная партия Казахстана»
255	генеральный директор ТОО «Жигалма»
256	главный хормейстер Туркестанского музыкального драматического театра
257	руководитель отдела финансов РГУ «Департамента юстиции города Астаны Министерства юстиции РК»
258	исполняющий обязанности ассоциированного профессора в Международном университете информационных технологий
259	ведущая Youtube-канала ОО «Народная партия Казахстана»
260	директор департамента юридической службы Министерства труда и социальной защиты населения Республики Казахстан
261	заместитель директора департамента законодательства НПП РК «Атамекен»
262	независимый эксперт по банковским вопросам
263	журналист-редактор ОО «Народная партия Казахстана»
264	генеральный директор частной компании «Omir Group»
265	учитель начальных классов КГУ «Средняя школа №40»
266	вице-президент группы компаний «Шин-Лайн»
267	председатель Атырауского областного филиала ОО «Народная партия Казахстана»
268	исполняющий обязанности председателя Алматинского областного филиала ОО «Народная партия Казахстана»
269	руководитель центра научных исследований Министерства труда и социальной защиты населения Республики Казахстан
270	председатель Кызылординского областного филиала ОО «Народная партия Казахстана»
271	солист Мангистауской областной филармонии им. М. Өскінбаева
272	учредитель ТОО «Ясли Сад Айшатай», директор и редактор ТОО «Информационное агентство «SERT-inform.kz»
273	председатель филиала ОО «Народная партия Казахстана» в области Жетісу
274	председатель правления Алматинского городского Общества инвалидов
275	председатель филиала ОО «Народная партия Казахстана» в области Абай
276	ректор АО «Казахский медицинский университет непрерывного образования»
277	директор ТОО «Sadu»
278	руководитель Центрального аппарата ОО «Народная партия Казахстана»
279	руководитель филиала Республиканской палаты частных судебных исполнителей
280	управляющий партнер адвокатской конторы «QALQAN ADVISORS»
281	председатель Туркестанского областного филиала ОО «Народная партия Казахстана»
282	генеральный директор ТОО «Light Engineering»
283	председатель Актюбинского областного филиала ОО «Народная партия Казахстана»
284	заместитель председателя Комитета государственных услуг Министерства искусственного интеллекта и цифрового развития Республики Казахстан
285	тренер по правам лиц с инвалидностью в ОФ «Асыл Дария»
286	председатель Западно-Казахстанского областного филиала ОО «Народная партия Казахстана»
287	заместитель председателя ОО «Народная партия Казахстана», председатель Карагандинского областного филиала ОО «Народная партия Казахстана» и филиала ОО «Народная партия Казахстана» в области Ұлытау
288	генеральный директор ТОО «Nigin Industry»
289	заместитель председателя правления НПП РК «Атамекен»
290	коммерческий директор ТОО «Объединенная сырьевая компания»
291	актриса, продюсер
292	депутат VIII созыва Мажилиса Парламента Республики Казахстан, председатель ОО «Казахстанский отраслевой горно-металлургический профсоюз»
293	управляющий директор частной школы International Future School
294	руководитель организационного отдела Центрального аппарата ОО «Народная партия Казахстана»
295	директор ТОО «Camrades Group»
296	вице-президент по БИОТ ТОО «Холдинговая компания Базис»
297	генеральный директор ТОО «Kap Logistics»
298	нотариус города Алматы
299	советник директора «Государственный фонд развития молодежной политики города Алматы»
300	депутат VIII созыва Мажилиса Парламента Республики Казахстан, уполномоченный по правам социально уязвимых слоев населения при Президенте Республики Казахстан
301	генеральный директор Международной ассоциации «Глобальный шёлковый путь»
302	депутат VIII созыва Мажилиса Парламента Республики Казахстан, государственный и общественный деятель
303	государственный и общественный деятель, заместитель председателя Национальной комиссии по делам женщин и семейно-демографической политике при Президенте Республики Казахстан
304	депутат VIII созыва Мажилиса Парламента Республики Казахстан, руководитель молодежного крыла ОО «Народная партия Казахстана»
