party_id	list_order	candidate_name	birth_year	wiki_language	rank	page_title	page_url	page_id	wikidata_id	score	signals	extract	review_status	review_note
respublica	21	Габбасов Еркин Тлеугабылович	1983	ru	2	Габбасов	https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B1%D0%B1%D0%B0%D1%81%D0%BE%D0%B2	5287495	Q30878181	70	surname-in-title,name-tokens:3/3,birth-year-match	Габбасов — фамилия. Известные носители: Габбасов, Араб Махич (1903—2002) — советский и казахстанский растениевод. Габбасов, Еркин Тлеугабылович (род. 1983) — казахстанский спортсмен-стрелок, призёр Паралимпийских игр. Габбасов, Радек Фатыхович (1934—2020) — доктор технических наук (1989), профессор. Габбасов, Халел Ахметжанулы (1888—1931) — участник Алашского движения, заместитель председателя правительства Алашской автономии. Габбасов, Энгельс Габбасович (1937—2014) — казахский писатель, общественный деятель. Габбасова, Яна (род. 2003) — российская певица, победительница 9 сезона шоу «Голос».	SUGGESTED	
respublica	21	Габбасов Еркин Тлеугабылович	1983	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	22	Дәулетбаева Венера Нартайқызы	1983	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	22	Дәулетбаева Венера Нартайқызы	1983	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	23	Домаев Сергей Александрович	1988	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	23	Домаев Сергей Александрович	1988	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	24	Доскалиев Айдос Жаксылыкович	1982	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	24	Доскалиев Айдос Жаксылыкович	1982	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	25	Дуйсекенов Ержан Нусипбекович	1970	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	25	Дуйсекенов Ержан Нусипбекович	1970	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	26	Дуйсенбаева Малика Муратжановна	1978	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	26	Дуйсенбаева Малика Муратжановна	1978	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	27	Жабасов Даурен Еркинович	1986	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	27	Жабасов Даурен Еркинович	1986	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	28	Жайнарбай Жалынбек	1983	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	28	Жайнарбай Жалынбек	1983	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	29	Жампеисов Думан Абильтаевич	1982	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	29	Жампеисов Думан Абильтаевич	1982	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	30	Жунусов Олжас Файзуллаевич	1982	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	30	Жунусов Олжас Файзуллаевич	1982	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	31	Идрисов Руслан Рашитович	1984	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	31	Идрисов Руслан Рашитович	1984	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	32	Иманов Нуржан Ибрагимович	1980	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	32	Иманов Нуржан Ибрагимович	1980	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	33	Искаков Жанат Маратович	1977	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	33	Искаков Жанат Маратович	1977	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	34	Қази Асылжан Ешжанұлы	1989	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	34	Қази Асылжан Ешжанұлы	1989	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	35	Карин Сакен Абуханович	1978	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	35	Карин Сакен Абуханович	1978	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	36	Карпикова Назым Ермековна	1987	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
