party,order,surname,given_names,birth_year,age_2026,gender_guess,position_raw,residence_raw,place_type,place
Ауыл,45,Мухаметов,Алмас Ерекұлы,1992,34,м,ведущий научный сотрудник РГП на ПХВ «Институт биологии и биотехнологии растений» КН МНВО РК,городе Алматы,город,Алматы
Ауыл,46,Мұқатов,Қажғалей Сипуллаұлы,1962,64,м,советник генерального директора ТОО «Гранит Талес-Электроникс»,городе Астане,город,Астана
Ауыл,47,Мұстафа,Садық Шоңмұрынұлы,1966,60,м,"председатель регионального филиала «Партии «Ауыл» по Кызылординской области, депутат областного маслихата",городе Кызылорда,город,Кызылорда
Ауыл,48,Нугманова,Самал Болатовна,1973,53,ж,заместитель директора филиала НАО «Государственная корпорация «Правительство для граждан»,городе Актобе,город,Актобе
Ауыл,49,Нурбеков,Болатжан Саймасаевич,1972,54,м,"председатель постоянной комиссии Алматинского областного маслихата по вопросам здравоохранения, образования, социальной защиты населения, развития культуры и спорта»",городе Алматы,город,Алматы
Ауыл,50,Озгамбаев,Куанышбай Омирзакович,1968,58,м,председатель регионального филиала «Партии «Ауыл» по Мангистауской области,Мангистауской области,область,Мангистауская область
Ауыл,51,Омарова,Гульназ Шинтуриновна,1973,53,ж,"депутат маслихата области Ұлытау, председатель сельскохозяйственного производственного кооператива «Жетіконыр»",городе Жезказган,город,Жезказган
Ауыл,52,Ораш,Нұрхат Серікқалиұлы,1994,32,м,заместитель руководителя аппарата «Партии «Ауыл»,городе Астане,город,Астана
Ауыл,53,Разинков,Александр Александрович,1982,44,м,директор ТОО «Vista Company 2010»,городе Астане,город,Астана
Ауыл,54,Райханова,Динара Куанышевна,1979,47,ж,генеральный директор ТОО «ЮДИ принт»,городе Косшы,город,Косшы
Ауыл,55,Рахымбек,Дәурен Берікбайұлы,1998,28,м,председатель молодежного крыла «Аuyl jastary» при «Партии «Ауыл»,городе Астане,город,Астана
Ауыл,56,Рзаханов,Максат Кикбаевич,1966,60,м,председатель постоянной комиссии Мангистауского областного маслихата,городе Актау,город,Актау
Ауыл,57,Савин,Тимур Владимирович,1983,43,м,руководитель научно-производственного центра зернового хозяйства им. А.И. Бараева,городе Астане,город,Астана
Ауыл,58,Сағындықұлы,Бекен,1965,61,м,профессор Павлодарского педагогического университета им. А. Маргулана,городе Павлодаре,город,Павлодар
Ауыл,59,Саурыков,Ерболат Байузакович,1971,55,м,учредитель учреждения «Международный Таразский университет им. Шерхана Муртазы»,городе Тараз,город,Тараз
Ауыл,60,Сәрсенбаев,Марлен Ибрагимұлы,1989,37,м,директор Актюбинского филиала «Национального центра экспертизы и сертификации»,городе Актобе,город,Актобе
Ауыл,61,Султанкулова,Жазира Кайратовна,1980,46,ж,руководитель аппарата фракции «Партии «Ауыл» в Мажилисе Парламента Республики Казахстан,городе Астане,город,Астана
Ауыл,62,Сүйін,Бейімбет Жұмабекұлы,1993,33,м,"председатель Общественного объединения «Общество инвалидов» Capable Group», директор ТОО «Төрт Таға»",городе Шымкенте,город,Шымкент
Ауыл,63,Тастанбекова,Гульнара Рахимбердыевна,1973,53,ж,декан аграрного факультета ЮКЗУ им. М. Ауэзова,городе Шымкенте,город,Шымкент
Ауыл,64,Токсеитова,Рабига Альбековна,1962,64,ж,вице-президент холдинговой компании АО «Aitas-KZ»,городе Косшы,город,Косшы
Ауыл,65,Траисова,Эльмара Аскаровна,1967,59,ж,учитель Школа-гимназия №34 им. Асана Тайманова города Уральска,городе Уральске,город,Уральск
Ауыл,66,Тулеуова,Камшат Шакирбековна,1985,41,ж,менеджер проекта в КХ «Нуралы»,городе Актобе,город,Актобе
Ауыл,67,Турмухамбетова,Анар Акылбековна,1969,57,ж,"НАО «Медицинский университет Астана», председатель правления - ректор",городе Астане,город,Астана
Ауыл,68,Турумбаева,Жанна Куатовна,1981,45,ж,заведующая отделом аппарата Мажилиса Парламента Республики Казахстан,городе Астане,город,Астана
Ауыл,69,Устемирова,Айнагуль Амантаевна,1982,44,ж,индивидуальный предприниматель «Bilgir Studio»,городе Кокшетау,город,Кокшетау
Байтақ,1,Абдуалиева,Айгуль Кадесовна,1974,52,ж,"президент учреждения «Международная академия экологии», председатель ОЮЛ «Международная ассоциация производителей экологической чистой продукции»",городе Астане,город,Астана
Байтақ,2,Айбеков,Елдос Айбекұлы,1990,36,м,директор НИИ «Центр исследования цифрового права и глобальных технологий»,городе Алматы,город,Алматы
Байтақ,3,Амиртаев,Азаматхан Сайлауович,1978,48,м,председатель Казахстанской партии зеленых «Байтақ»,городе Астане,город,Астана
Байтақ,4,Амиртаев,Сапар Абдраманович,1962,64,м,адвокат Туркестанской областной коллегии адвокатов,городе Шымкенте,город,Шымкент
Байтақ,5,Аскаров,Бекзат Ерикович,1988,38,м,юрист Казахстанской партии зеленых «Байтақ»,городе Астане,город,Астана
Байтақ,6,Әмірова,Шолпан Кеңесқызы,1983,43,ж,директор ТОО «Tau Ken Geology»,городе Атырау,город,Атырау
Байтақ,7,Байзаханов,Аслан Адильханович,1988,38,м,главный врач ТОО «Медицинский центр клеточных технологий»,городе Астане,город,Астана
Байтақ,8,Байтемиров,Турсынбек Шерниязович,1967,59,м,генеральный директор ТОО «БатысСуШар»,городе Уральске,город,Уральск
Байтақ,9,Баубек,Нариман Асқарұлы,1982,44,м,директор ТОО «Baiterek Engineering»,городе Астане,город,Астана
Байтақ,10,Баяжума,Асылбек,1978,48,м,председатель Акмолинского областного филиала Казахстанской партии зеленых «Байтақ»,городе Кокшетау,город,Кокшетау
Байтақ,11,Бекахметов,Габит Кайратович,1984,42,м,заместитель директора ТОО «Paradigm Shift»,городе Астане,город,Астана
Байтақ,12,Деркач,Марина Владимировна,1979,47,ж,ИП «ArtLab»,городе Актобе,город,Актобе
Байтақ,13,Джакишев,Алмаз Ажибекович,1997,29,м,исполнительный секретарь Восточно- Казахстанского областного филиала Казахстанской партии зеленых «Байтақ»,городе Усть-Каменагорске,город,Усть-Каменогорск
Байтақ,14,Джаппарова,Ардак Сарсенбековна,1981,45,ж,директор ТОО «СПМК-5»,городе Астане,город,Астана
Байтақ,15,Досанов,Абай Сабитович,1970,56,м,заместитель директора АО «НК «ҚТЖ» - дирекция магистральной сети,городе Астане,город,Астана
Байтақ,16,Иманалиев,Аскар Муратович,1978,48,м,общественный деятель,городе Алматы,город,Алматы
Байтақ,17,Иманбаев,Айдос Бейбитович,1981,45,м,председатель Президиума Республиканской палаты частных судебных исполнителей,городе Астане,город,Астана
Байтақ,18,Кажиев,Сериккан Ергалиевич,1967,59,м,директор ТОО «Семстройлидер»,Астане,город,Астана
Байтақ,19,Каметов,Бакыт Хабидуллаевич,1967,59,м,председатель постоянной комиссии по социальному и культурному развитию Атырауского областного маслихата,городе Атырау,город,Атырау
Байтақ,20,Камытбекова,Сауле Жайлауовна,1969,57,ж,заместитель заведующего отделом аппарата Мажилиса Парламента РК,городе Астане,город,Астана
Байтақ,21,Кенжалиев,Эльнар Багдаулетович,1978,48,м,менеджер проекта ТОО «Salplanet»,городе Экибастуз,город,Экибастуз
Байтақ,22,Кенжебекова,Роза Темуркуловна,1971,55,ж,исполнительный директор KTZ Express,городе Астане,город,Астана
Байтақ,23,Керей,Бекберген Дүйсенбайұлы,1971,55,м,секретарь по вопросам зеленой экономики Казахстанской партии зелёных «Байтақ»,городе Астане,город,Астана
Байтақ,24,Краснокуцкий,Андрей Анатольевич,1986,40,м,заместитель директора ТОО «ATON+»,городе Алматы,город,Алматы
Байтақ,25,Кудеринов,Мурат Тасбулатович,1977,49,м,директор ТОО «Наше право»,городе Караганде,город,Караганда
Байтақ,26,Кунгожин,Алмаз Мухамбетович,1978,48,м,первый заместитель председателя правления НАО «Республиканская физико- математическая школа»,городе Астане,город,Астана
Байтақ,27,Кыдырбаев,Ерлан Жайлаубаевич,1976,50,м,специалист по коммерциализацииТОО «Азия-Auto Казахстан»,городе Астане,город,Астана
Байтақ,28,Қадырбаева,Нұргүл Жұмахметқызы,1979,47,ж,самозанятая,городе Астане,город,Астана
Байтақ,29,Қараш,Алма,1977,49,ж,ИП «Alma»,городе Алматы,город,Алматы
Байтақ,30,Мамытов,Нургалый Киябаевич,1958,68,м,руководитель Центрального аппарата Казахстанской партии зеленых «Байтақ»,городе Астане,город,Астана
Байтақ,31,Мартель,Владимир Александрович,1969,57,м,самозанятый,городе Алматы,город,Алматы
Байтақ,32,Махамбетова,Назген Мансұрханқызы,1994,32,ж,начальник отдела охраны окружающей среды ТОО «ПетроКазахстан Ойл Продактс»,городе Шымкенте,город,Шымкент
Байтақ,33,Мусаев,Улан Жолдошбекович,1979,47,м,учитель школы-гимназии № 131,Карасайском районе Алматинской области,район,Карасайский район
Байтақ,34,Мұратұлы,Руслан,1989,37,м,директор ТОО «КазОйлЭнерджи»,Сайрамском районе Туркестанской области,район,Сайрамский район
Байтақ,35,Ордабеков,Айдос Бахытжанулы,1988,38,м,ИП «Томирис»,городе Шымкенте,город,Шымкент
Байтақ,36,Ордабеков,Алтай Еркебекович,1980,46,м,директор ТОО «Bbi Project»,городе Шымкенте,город,Шымкент
Байтақ,37,Өміртай,Амалбек Даркенұлы,1994,32,м,руководитель аппарата ГУ «Аппарат акима Толебийского района Туркестанской области»,городе Шымкенте,город,Шымкент
Байтақ,38,Сабурова,Нургул Едигеевна,1982,44,ж,генеральный директор ТОО «Атыраугидрогеология»,городе Атырау,город,Атырау
Байтақ,39,Сагимбаев,Таир Амантаевич,1983,43,м,врач стамотолог стоматологии ALFA-DENT»,городе Астане,город,Астана
Байтақ,40,Садинов,Самат Камысбаевич,1990,36,м,заместитель директора ГККП «Колледж № 7» управления образования Туркестанской области,городе Кентау Туркестанской области,город,Кентау
Байтақ,41,Сексенова,Айман Казиевна,1980,46,ж,директор ТОО «Eco Madeniet»,городе Актобе,город,Актобе
Байтақ,42,Серикбаев,Айбол Усенович,1990,36,м,управляющий директор по безопасности ТОО «RS-ЖОЛ СЕРВИС»,городе Кызылорде,город,Кызылорда
Байтақ,43,Скаков,Ануарбек Адылбекович,1980,46,м,директор ТОО «Астанинская Энергосбытовая компания»,городе Астане,город,Астана
Байтақ,44,Туртаев,Алмат Керимбаевич,1969,57,м,исполнительный секретарь Казахстанской партии зеленых «Байтақ»,городе Алматы,город,Алматы
Байтақ,45,Туртаев,Болат Талгасулы,1992,34,м,начальник отдела бурения и КПРС ТОО «KazPetrol Group»,городе Алматы,город,Алматы
Байтақ,46,Файзулин,Тамирлан Банияминович,1990,36,м,самозанятый,городе Талдыкоргане,город,Талдыкорган
Байтақ,47,Ысматуллаев,Руслан Серікұлы,1990,36,м,директор ТОО «АS-ЖОЛ СЕРВИС»,городе Кызылорде,город,Кызылорда
НПК,1,Абдраймов,Галимжан Райлович,1965,61,м,советник директора ТОО «Inter Group Story Invest»,селе Кыргаулды Карасайского района Алматинской области,село,Кыргаулды
НПК,2,Абдрахманов,Темиржан Кайратович,1987,39,м,член правления Союза машиностроителей Казахстана,городе Астане,город,Астана
НПК,3,Агибаев,Алимбек Тулегенович,1981,45,м,председатель Павлодарского областного филиала ОО «Народная партия Казахстана»,городе Павлодаре,город,Павлодар
НПК,4,Аккозиев,Рахман Сейлханович,1963,63,м,председатель Жамбылского областного филиала ОО «Народная партия Казахстана»,городе Тараз,город,Тараз
НПК,5,Актаева,Лязат Мейрашевна,1965,61,ж,генеральный директор РГП на ПХВ «Республиканский научно-исследовательский институт по охране труда»,городе Астане,город,Астана
НПК,6,Альмадиев,Алибек Бекболатович,1994,32,м,артист-солист эстрадного отдела РГКП Государственная академическая концертная организация «Қазақконцерт имени Розы Баглановой» Комитета культуры Министерства культуры и информации Республики Казахстан. председатель Комиссии по культуре Общественного совета Министерства культуры и информации Республики Казахстан,городе Астане,город,Астана
НПК,7,Амантаев,Кайыркен Калкенович,1975,51,м,председатель совета директоров ТОО «Астана Авто Снаб Сервис-НС»,городе Астане,город,Астана
НПК,8,Аппасова,Найля Темиргалиевна,1980,46,ж,директор Союза проектных компаний Казахстана,городе Астане,город,Астана
НПК,9,Аргумбаев,Данияр Даулеткелдиевич,1983,43,м,советник председателя ОО «Народная партия Казахстана»,городе Алматы,город,Алматы
НПК,10,Аскарбекова,Акбота Маратовна,1988,38,ж,руководитель индивидуального предприятия «Аскарбекова»,городе Алматы,город,Алматы
НПК,11,Ауезова,Эльмира Тугелбаевна,1970,56,ж,старший преподаватель КазНУ имени Аль-Фараби,городе Алматы,город,Алматы
НПК,12,Аукенов,Мирас Серикбекович,1985,41,м,заместитель председателя ОО «Народная партия Казахстана»,городе Астане,город,Астана
НПК,13,Ахметов,Алмат Сагындыкұлы,1975,51,м,генеральный директор ТОО «Жигалма»,городе Алматы,город,Алматы
НПК,14,Балажанова,Ардак Байдилхановна,1977,49,ж,главный хормейстер Туркестанского музыкального драматического театра,городе Астаны,город,Астана
НПК,15,Балыкбаева,Асемгуль Асылбековна,1987,39,ж,руководитель отдела финансов РГУ «Департамента юстиции города Астаны Министерства юстиции РК»,городе Астане,город,Астана
НПК,16,Бегалинов,Алибек Серикбекович,1987,39,м,исполняющий обязанности ассоциированного профессора в Международном университете информационных технологий,городе Алматы,город,Алматы
НПК,17,Беглова,Александра Леонидовна,1995,31,ж,ведущая Youtube-канала ОО «Народная партия Казахстана»,городе Астане,город,Астана
НПК,18,Беркамалов,Серик Нуртазаевич,1977,49,м,директор департамента юридической службы Министерства труда и социальной защиты населения Республики Казахстан,городе Астане,город,Астана
НПК,19,Бидайбеков,Жандос Зарипович,1979,47,м,заместитель директора департамента законодательства НПП РК «Атамекен»,городе Астане,город,Астана
НПК,20,Биякаев,Нуржан Темиргалиевич,1976,50,м,независимый эксперт по банковским вопросам,городе Астане,город,Астана
НПК,21,Біләл,Уатхан Қабылтайұлы,1995,31,м,журналист-редактор ОО «Народная партия Казахстана»,городе Астане,город,Астана
НПК,22,Газиз,Джанибек Газизұлы,1997,29,м,генеральный директор частной компании «Omir Group»,городе Алматы,город,Алматы
НПК,23,Гноевой,Игорь Андреевич,1996,30,м,учитель начальных классов КГУ «Средняя школа №40»,селе Павлодарское Павлодарской области,село,Павлодарское
НПК,24,Дигай,Дамир Анатольевич,1990,36,м,вице-президент группы компаний «Шин-Лайн»,городе Алматы,город,Алматы
НПК,25,Досмухамбетова,Балжан Ибатовна,1964,62,ж,председатель Атырауского областного филиала ОО «Народная партия Казахстана»,городе Атырау,город,Атырау
НПК,26,Дудабаев,Еркебулан Бакытович,1983,43,м,исполняющий обязанности председателя Алматинского областного филиала ОО «Народная партия Казахстана»,городе Конаеве,город,Конаев
НПК,27,Едильбаева,Лаура Ибрагимовна,1965,61,ж,руководитель центра научных исследований Министерства труда и социальной защиты населения Республики Казахстан,городе Алматы,город,Алматы
НПК,28,Ерназаров,Кайрат Шаршыбекович,1965,61,м,председатель Кызылординского областного филиала ОО «Народная партия Казахстана»,городе Кызылорде,город,Кызылорда
НПК,29,Жанқұл,Тамараасар Қалниязқызы,1976,50,ж,солист Мангистауской областной филармонии им. М. Өскінбаева,городе Астане,город,Астана
НПК,30,Жапарова,Асель Абилхановна,1986,40,ж,"учредитель ТОО «Ясли Сад Айшатай», директор и редактор ТОО «Информационное агентство «SERT-inform.kz»",городе Тараз,город,Тараз
НПК,31,Ибраимов,Олжас Бекдаулетович,1986,40,м,председатель филиала ОО «Народная партия Казахстана» в области Жетісу,городе Талдыкорган,город,Талдыкорган
НПК,32,Илиев,Фарух Абдувалиевич,1984,42,м,самозанятый,городе Алматы,город,Алматы
НПК,33,Инкарбеков,Улан Аскербекович,1970,56,м,председатель правления Алматинского городского Общества инвалидов,городе Алматы,город,Алматы
НПК,34,Исабаев,Орынбасар Душанович,1955,71,м,председатель филиала ОО «Народная партия Казахстана» в области Абай,городе Семей,город,Семей
НПК,35,Исмаилов,Жумагали Казыбаевич,1972,54,м,ректор АО «Казахский медицинский университет непрерывного образования»,городе Алматы,город,Алматы
НПК,36,Кабаков,Тениз Сайлауович,1991,35,м,директор ТОО «Sadu»,городе Астане,город,Астана
НПК,37,Кабдешев,Дамир Каирович,1999,27,м,руководитель Центрального аппарата ОО «Народная партия Казахстана»,городе Астане,город,Астана
НПК,38,Кайдаров,Айдын Серикказыевич,1973,53,м,руководитель филиала Республиканской палаты частных судебных исполнителей,городе Алматы,город,Алматы
НПК,39,Каймаков,Аскар Абаевич,1984,42,м,управляющий партнер адвокатской конторы «QALQAN ADVISORS»,городе Алматы,город,Алматы
НПК,40,Камбарова,Зухра Медеуовна,1967,59,ж,председатель Туркестанского областного филиала ОО «Народная партия Казахстана»,городе Сарыагаше,город,Сарыагаш
НПК,41,Каюмов,Дамир Ирекович,1984,42,м,генеральный директор ТОО «Light Engineering»,городе Караганде,город,Караганда
НПК,42,Куленова,Лейла Искандеровна,1980,46,ж,заместитель председателя ОО «Народная партия Казахстана»,городе Астане,город,Астана
НПК,43,Курмангазин,Бауржан Олжашевич,1986,40,м,председатель Актюбинского областного филиала ОО «Народная партия Казахстана»,городе Актобе,город,Актобе
НПК,44,Курумбаев,Надир Шамуратович,1984,42,м,заместитель председателя Комитета государственных услуг Министерства искусственного интеллекта и цифрового развития Республики Казахстан,городе Астане,город,Астана
НПК,45,Кусаинов,Бейбут Булатович,1985,41,м,заместитель председателя ОО «Народная партия Казахстана»,городе Алматы,город,Алматы
НПК,46,Қанатұлы,Аман,1997,29,м,тренер по правам лиц с инвалидностью в ОФ «Асыл Дария»,городе Алматы,город,Алматы
НПК,47,Лаврентьев,Борис Георгиевич,1984,42,м,председатель Западно-Казахстанского областного филиала ОО «Народная партия Казахстана»,городе Уральске,город,Уральск
НПК,48,Максутов,Калел Мухатаевич,1964,62,м,"заместитель председателя ОО «Народная партия Казахстана», председатель Карагандинского областного филиала ОО «Народная партия Казахстана» и филиала ОО «Народная партия Казахстана» в области Ұлытау",городе Караганде,город,Караганда
НПК,49,Маргулан,Едиге Саулебекович,1988,38,м,генеральный директор ТОО «Nigin Industry»,городе Алматы,город,Алматы
НПК,50,Маханов,Муратбек Мамытханович,1982,44,м,заместитель председателя правления НПП РК «Атамекен»,городе Астане.,город,Астана
НПК,51,Миронов,Евгений Николаевич,1986,40,м,коммерческий директор ТОО «Объединенная сырьевая компания»,городе Павлодаре,город,Павлодар
НПК,52,Нигматулина,Венера Махаметовна,1962,64,ж,"актриса, продюсер",городе Алматы,город,Алматы
НПК,53,Нұралин,Асылбек Жамашұлы,1959,67,м,"депутат VIII созыва Мажилиса Парламента Республики Казахстан, председатель ОО «Казахстанский отраслевой горно-металлургический профсоюз»",городе Астане,город,Астана
НПК,54,Нурсейтов,Илияс Болатович,1984,42,м,управляющий директор частной школы International Future School,городе Астане,город,Астана
НПК,55,Оразханов,Нурдаулет Амантаевич,1983,43,м,руководитель организационного отдела Центрального аппарата ОО «Народная партия Казахстана»,городе Астане,город,Астана
НПК,56,Пан,Владислав Виссарионович,1987,39,м,директор ТОО «Camrades Group»,городе Алматы,город,Алматы
НПК,57,Поднебесный,Виктор Викторович,1976,50,м,вице-президент по БИОТ ТОО «Холдинговая компания Базис»,городе Алматы,город,Алматы
НПК,58,Рамазанов,Дархан Булатович,1987,39,м,генеральный директор ТОО «Kap Logistics»,городе Астане,город,Астана
НПК,59,Рысбеков,Марлен Жаксыбекович,1986,40,м,нотариус города Алматы,городе Алматы,город,Алматы
НПК,60,Сеитов,Совет Саутович,1965,61,м,советник директора «Государственный фонд развития молодежной политики города Алматы»,городе Алматы,город,Алматы
НПК,61,Сейтжан,Кенжеғұл Социалұлы,1982,44,м,"депутат VIII созыва Мажилиса Парламента Республики Казахстан, уполномоченный по правам социально уязвимых слоев населения при Президенте Республики Казахстан",городе Алматы,город,Алматы
НПК,62,Смагулов,Болат Советович,1964,62,м,генеральный директор Международной ассоциации «Глобальный шёлковый путь»,городе Астане,город,Астана
НПК,63,Смирнова,Ирина Владимировна,1960,66,ж,"депутат VIII созыва Мажилиса Парламента Республики Казахстан, государственный и общественный деятель",городе Алматы,город,Алматы
НПК,64,Сүлеймен,Ләззат Жаңылысқызы,1961,65,ж,"государственный и общественный деятель, заместитель председателя Национальной комиссии по делам женщин и семейно-демографической политике при Президенте Республики Казахстан",городе Астане,город,Астана
НПК,65,Сұңқар,Ислам Еркінұлы,1995,31,м,"депутат VIII созыва Мажилиса Парламента Республики Казахстан, руководитель молодежного крыла ОО «Народная партия Казахстана»",городе Астане,город,Астана
НПК,66,Сыдыкова,Карлыгаш Нурдаулетовна,1977,49,ж,менеджер Центрального аппарата ОО «Народная партия Казахстана»,городе Астане,город,Астана
НПК,67,Тулеугалиев,Рашид Бектурович,1973,53,м,председатель Мангистауского областного филиала ОО «Народная партия Казахстана»,городе Актау,город,Актау
НПК,68,Уалихан,Жандос Шоханұлы,1999,27,м,преподаватель в КазНПУ имени Абая,городе Алматы,город,Алматы
НПК,69,Умаров,Баймырза Абденбаевич,1965,61,м,председатель Шымкентского городского филиала ОО «Народная партия Казахстана»,городе Шымкенте,город,Шымкент
НПК,70,Харбедия,Омари Омианович,1967,59,м,директор ТОО «NK-CARGO»,городе Петропавловске,город,Петропавловск
НПК,71,Шоканов,Нурсултан Нурланович,1986,40,м,председатель ОО «Народная партия Казахстана»,городе Алматы,город,Алматы
НПК,72,Шонаева,Елена Геннадьевна,1983,43,ж,руководитель управления тарифообразования и методологии оплаты медицинских услуг Министерства здравоохранения Республики Казахстан,городе Астане,город,Астана
ОСДП,1,Абенова,Анаргул Жаксагалиевна,1973,53,ж,председатель Западно-Казахстанского областного филиала «ОСДП»,городе Уральск,город,Уральск
ОСДП,2,Ақылбай,Арман Серікұлы,1983,43,м,"Министерство юстиции Республики Казахстан, директор департамента по работе с персоналом",городе Астане,город,Астана
ОСДП,3,Аленова,Аружан Дарменовна,2000,26,ж,исполняющий обязанности председателя Актюбинского областного филиала «ОСДП»,городе Актобе,город,Актобе
ОСДП,4,Алшынбай,Ару Мұратқызы,2000,26,ж,руководитель женского крыла Акмолинского областного филиала «ОСДП»,городе Кокшетау,город,Кокшетау
ОСДП,5,Андрюшин,Максим Валерьевич,1968,58,м,журналист центрального аппарата «ОСДП»,городе Астане,город,Астана
ОСДП,6,Аубакиров,Нурлан Какимович,1970,56,м,председатель Карагандинского областного филиала «ОСДП»,городе Караганде,город,Караганда
ОСДП,7,Аубакирова,Раушан Абдрахманқызы,1987,39,ж,руководитель женского крыла Столичного филиала «ОСДП»,городе Астане,город,Астана
ОСДП,8,Ауесбаев,Нурлан Сатыбалдиевич,1957,69,м,депутат Мажилиса Парламента VIII созыва,городе Астане,город,Астана
ОСДП,9,Әбдиев,Еркін Қайырбекұлы,1998,28,м,руководитель молодежного крыла Жамбылского областного филиала «ОСДП»,городе Тараз,город,Тараз
ОСДП,10,Баекенов,Камбар Абдысатарович,1979,47,м,специалист «ОСДП» по Алматинской области,городе Конаев,город,Конаев
ОСДП,11,Балтабайқызы,Нурия,1975,51,ж,председатель национальной ассоциации «AUTISM KAZAKHSTAN»,городе Астане,город,Астана
ОСДП,12,Бугабаев,Сапарбай Дуйсенович,1959,67,м,председатель Туркестанского областного филиала «ОСДП»,городе Туркестан,город,Туркестан
ОСДП,13,Дауренбеков,Ержан Каханович,1982,44,м,председатель Жамбылского областного филиала «ОСДП»,городе Тараз,город,Тараз
ОСДП,14,Джаканов,Дамир Сатпаевич,1990,36,м,председатель Костанайского областного филиала «ОСДП»,городе Костанай,город,Костанай
ОСДП,15,Джусупова,Роза Кенженовна,1967,59,ж,председатель Павлодарского областного филиала «ОСДП»,городе Павлодар,город,Павлодар
ОСДП,16,Жабаев,Нурлан Койшыбаевич,1979,47,м,исполнительный секретарь центрального аппарата «ОСДП»,городе Астане,город,Астана
ОСДП,17,Жанғали,Ілияс Әбілқазыұлы,1993,33,м,председатель Акмолинского областного филиала «ОСДП»,городе Кокшетау,город,Кокшетау
ОСДП,18,Калгин,Виктор Евгеньевич,1981,45,м,председатель Восточно-Казахстанского областного филиала «ОСДП»,городе Усть-Каменогорск,город,Усть-Каменогорск
ОСДП,19,Камалова,Нурайнаш Балтабаевна,1977,49,ж,председатель Атырауского областного филиала «ОСДП»,городе Атырау,город,Атырау
ОСДП,20,Кульмагамбетов,Аслан Мухтарович,1978,48,м,аналитик Столичного филиала «ОСДП»,городе Астане,город,Астана
ОСДП,21,Кусаинова,Анара Бахытовна,1974,52,ж,"адвокат коллегии адвокатов Восточно-Казахстанской области, член президиума Республиканской коллегии адвокатов",городе Астане,город,Астана
ОСДП,22,Ли,Лариса Юрьевна,1978,48,ж,руководитель партийного проекта PANA,городе Конаев,город,Конаев
ОСДП,23,Мукаманов,Жасулан Мирзахметович,1978,48,м,председатель филиала области Жетысу «ОСДП»,городе Текели,город,Текели
ОСДП,24,Мынбаев,Сакен Саламатович,1988,38,м,исполняющий обязанности председателя Мангистауского областного филиала «ОСДП»,городе Актау,город,Актау
ОСДП,25,Насибулов,Мақсұт Бейбитұлы,1992,34,м,"руководитель центрального аппарата «ОСДП», председатель молодежного крыла",городе Астане,город,Астана
ОСДП,26,Нурлыбеков,Нурым Комекович,1980,46,м,председатель Алматинского областного филиала «ОСДП»,городе Конаев,город,Конаев
ОСДП,27,Нұржау,Қуандық Оңдасынұлы,1979,47,м,исполняющий обязанности председателя Шымкентского городского филиала «ОСДП»,городе Шымкент,город,Шымкент
ОСДП,28,Рахимжанов,Асхат Нурмагамбетович,1983,43,м,"председатель партии «ОСДП», Депутат Мажилиса Парламента VIII созыва",городе Астане,город,Астана
ОСДП,29,Сагандыкова,Ажар Бахитовна,1971,55,ж,"руководитель Женского крыла «ОСДП», Депутат Мажилиса Парламента VIII созыва",городе Астане,город,Астана
ОСДП,30,Сайлаубай,Наурыз Саятұлы,1994,32,м,"руководитель молодежного крыла «ОСДП», Депутат Мажилиса Парламента VIII созыва",городе Астане,город,Астана
ОСДП,31,Самбетбай,Тазабек Дакенайұлы,1980,46,м,заместитель председателя партии «ОСДП»,городе Астане,город,Астана
ОСДП,32,Сарманов,Рустем Сабитович,1989,37,м,председатель филиала «ОСДП» области Абай,городе Семей,город,Семей
ОСДП,33,Татиков,Талгат Кайруллович,1961,65,м,эксперт Столичного филиала «ОСДП» по жилищно-коммунальному хозяйству и объединению собственников имущества,городе Астане,город,Астана
Әділет,1,Абдикешов,Алмат Жанболатович,1984,42,м,исполнительный директор ТОО «Казахмыс Барлау»,городе Косшы,город,Косшы
Әділет,2,Абенов,Мурат Абдуламитович,1965,61,м,депутат Мажилиса Парламента РК VIII созыва,городе Астане,город,Астана
Әділет,3,Абилева,Айымгул Акылбаевна,1990,36,ж,президент Казахстанской ассоциации IT-компаний,городе Астане,город,Астана
Әділет,4,Авершин,Константин Викторович,1976,50,м,депутат Мажилиса Парламента РК VIII созыва,городе Астане,город,Астана
Әділет,5,Адаев,Ербол Даненович,1978,48,м,заведующий Общим отделом Администрации Президента Республики Казахстан,городе Астане,город,Астана
Әділет,6,Адамбаева,Алия Раймкуловна,1984,42,ж,президент Фонда Президентских инициатив «Dara»,городе Астане,город,Астана
Әділет,7,Адамбек,Кендебай Сарыбайұлы,1965,61,м,депутат маслихата города Астаны,городе Астане,город,Астана
Әділет,8,Адамбеков,Тилектес Серикбайулы,1989,37,м,депутат Мажилиса Парламента РК VIII созыва,городе Астане,город,Астана
Әділет,9,Аймагамбетов,Асхат Канатович,1982,44,м,"депутат Мажилиса Парламента РК VIII созыва, преподаватель МNU",городе Астане,город,Астана
Әділет,10,Аймаганова,Айжан Талгатовна,1987,39,ж,экс-начальник управления прокуратуры по городу Астана,городе Астане,город,Астана
Әділет,11,Алимкулов,Бекжан Мухидинұлы,1989,37,м,заместитель исполнительного директора Некоммерческая организация «Atomic Industry Development Association Non-profit Organisation»,городе Астане,город,Астана
