party,order,surname,given_names,birth_year,age_2026,gender_guess,position_raw,residence_raw,place_type,place
Respublica,46,Марклен,Азамат Ержанулы,1995,31,м,"ИП «Марклен», руководитель",городе Алматы,город,Алматы
Respublica,47,Мәдәлі,Мейрамгүл Ералықызы,1988,38,ж,"ТОО «Телевидение Астана», продюсер",городе Астане,город,Астана
Respublica,48,Мункебаев,Даурен Биркутович,1984,42,м,"GR директор, АО «Костанайские минералы»",городе Астане,город,Астана
Respublica,49,Муратбеков,Даурен Булатович,1984,42,м,секретарь Высшего Судебного Совета РК - руководитель аппарата,городе Астане,город,Астана
Respublica,50,Мұхамеджан,Ерболат Амангелдіұлы,1988,38,м,советник директора Телерадиокомплекса Президента РК,городе Астане,город,Астана
Respublica,51,Мухамедрахимова,Анаргуль Хаиржановна,1978,48,ж,Индивидуальный предприниматель,городе Кокшетау,город,Кокшетау
Respublica,52,Нагуманова,Тахмина Утагалиевна,1974,52,ж,заместитель Генерального директора АО «КазАзот» по корпоративному и устойчивому развитию,городе Астане,город,Астана
Respublica,53,Наскенов,Жабай Алемгерович,1987,39,м,генеральный директор группы компаний ТОО «NQDC GROUP»,городе Астане,город,Астана
Respublica,54,Науатбек,Ақмарал Маратқызы,1999,27,ж,"Центр спортивной подготовки для лиц с ограниченными физическими возможностями, инструктор-спортсмен",городе Астане,город,Астана
Respublica,55,Наумова,Динара Рустамовна,1997,29,ж,депутат Мажилиса Парламента РК VIII созыва,городе Астане,город,Астана
Respublica,56,Нұғман,Ақмоншақ Нұртазақызы,1991,35,ж,директор школы-гимназии № 58,городе Астане,город,Астана
Respublica,57,Сагади,Сауле,1972,54,ж,Индивидуальный предприниматель,городе Астане,город,Астана
Respublica,58,Сайдуллаева,Нилуфар Пахритдиновна,1988,38,ж,директор ТОО «Art school 2020»,городе Шымкент,город,Шымкент
Respublica,59,Смаилов,Нурсултан Сагындыкович,1991,35,м,директор департамента экономики и планирования АО «НК «Казахстан инжиниринг»,городе Астане,город,Астана
